Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,L7,Destination[1],D4,600
Source[1],384PP_AQ_BP,O1,Destination[1],D4,600
Source[1],384PP_AQ_BP,L7,Destination[1],D5,600
Source[1],384PP_AQ_BP,O1,Destination[1],D5,125
Source[1],384PP_AQ_BP,L7,Destination[1],D6,600
Source[1],384PP_AQ_BP,O1,Destination[1],D6,25
Source[1],384PP_AQ_BP,L13,Destination[1],D7,600
Source[1],384PP_AQ_BP,O1,Destination[1],D7,600
Source[1],384PP_AQ_BP,L13,Destination[1],D8,600
Source[1],384PP_AQ_BP,O1,Destination[1],D8,125
Source[1],384PP_AQ_BP,L13,Destination[1],D9,600
Source[1],384PP_AQ_BP,O1,Destination[1],D9,25
Source[1],384PP_AQ_BP,L13,Destination[1],D10,600
Source[1],384PP_AQ_BP,O2,Destination[1],D10,475
Source[1],384PP_AQ_BP,L13,Destination[1],D11,600
Source[1],384PP_AQ_BP,O2,Destination[1],D11,100
Source[1],384PP_AQ_BP,L13,Destination[1],D12,600
Source[1],384PP_AQ_BP,L19,Destination[1],D13,600
Source[1],384PP_AQ_BP,O1,Destination[1],D13,600
Source[1],384PP_AQ_BP,L19,Destination[1],D14,600
Source[1],384PP_AQ_BP,O1,Destination[1],D14,125
Source[1],384PP_AQ_BP,L19,Destination[1],D15,600
Source[1],384PP_AQ_BP,O1,Destination[1],D15,25
Source[1],384PP_AQ_BP,L19,Destination[1],D16,600
Source[1],384PP_AQ_BP,O2,Destination[1],D16,475
Source[1],384PP_AQ_BP,L19,Destination[1],D17,600
Source[1],384PP_AQ_BP,O2,Destination[1],D17,100
Source[1],384PP_AQ_BP,L19,Destination[1],D18,600
Source[1],384PP_AQ_BP,M7,Destination[1],D19,600
Source[1],384PP_AQ_BP,N13,Destination[1],D20,600
Source[1],384PP_AQ_BP,O1,Destination[1],D20,600
Source[1],384PP_AQ_BP,N13,Destination[1],D21,600
Source[1],384PP_AQ_BP,O1,Destination[1],D21,125
Source[1],384PP_AQ_BP,L9,Destination[1],E4,600
Source[1],384PP_AQ_BP,O1,Destination[1],E4,600
Source[1],384PP_AQ_BP,L9,Destination[1],E5,600
Source[1],384PP_AQ_BP,O1,Destination[1],E5,125
Source[1],384PP_AQ_BP,L9,Destination[1],E6,600
Source[1],384PP_AQ_BP,O1,Destination[1],E6,25
Source[1],384PP_AQ_BP,L15,Destination[1],E7,600
Source[1],384PP_AQ_BP,O1,Destination[1],E7,600
Source[1],384PP_AQ_BP,L15,Destination[1],E8,600
Source[1],384PP_AQ_BP,O1,Destination[1],E8,125
Source[1],384PP_AQ_BP,L15,Destination[1],E9,600
Source[1],384PP_AQ_BP,O1,Destination[1],E9,25
Source[1],384PP_AQ_BP,L15,Destination[1],E10,600
Source[1],384PP_AQ_BP,O2,Destination[1],E10,475
Source[1],384PP_AQ_BP,L15,Destination[1],E11,600
Source[1],384PP_AQ_BP,O2,Destination[1],E11,100
Source[1],384PP_AQ_BP,L15,Destination[1],E12,600
Source[1],384PP_AQ_BP,L21,Destination[1],E13,600
Source[1],384PP_AQ_BP,O1,Destination[1],E13,600
Source[1],384PP_AQ_BP,L21,Destination[1],E14,600
Source[1],384PP_AQ_BP,O1,Destination[1],E14,125
Source[1],384PP_AQ_BP,L21,Destination[1],E15,600
Source[1],384PP_AQ_BP,O1,Destination[1],E15,25
Source[1],384PP_AQ_BP,L21,Destination[1],E16,600
Source[1],384PP_AQ_BP,O2,Destination[1],E16,475
Source[1],384PP_AQ_BP,L21,Destination[1],E17,600
Source[1],384PP_AQ_BP,O2,Destination[1],E17,100
Source[1],384PP_AQ_BP,L21,Destination[1],E18,600
Source[1],384PP_AQ_BP,M9,Destination[1],E19,600
Source[1],384PP_AQ_BP,N15,Destination[1],E20,600
Source[1],384PP_AQ_BP,O1,Destination[1],E20,600
Source[1],384PP_AQ_BP,N15,Destination[1],E21,600
Source[1],384PP_AQ_BP,O1,Destination[1],E21,125
Source[1],384PP_AQ_BP,L11,Destination[1],F4,600
Source[1],384PP_AQ_BP,O1,Destination[1],F4,600
Source[1],384PP_AQ_BP,L11,Destination[1],F5,600
Source[1],384PP_AQ_BP,O1,Destination[1],F5,125
Source[1],384PP_AQ_BP,L11,Destination[1],F6,600
Source[1],384PP_AQ_BP,O1,Destination[1],F6,25
Source[1],384PP_AQ_BP,L17,Destination[1],F7,600
Source[1],384PP_AQ_BP,O1,Destination[1],F7,600
Source[1],384PP_AQ_BP,L17,Destination[1],F8,600
Source[1],384PP_AQ_BP,O1,Destination[1],F8,125
Source[1],384PP_AQ_BP,L17,Destination[1],F9,600
Source[1],384PP_AQ_BP,O1,Destination[1],F9,25
Source[1],384PP_AQ_BP,L17,Destination[1],F10,600
Source[1],384PP_AQ_BP,O2,Destination[1],F10,475
Source[1],384PP_AQ_BP,L17,Destination[1],F11,600
Source[1],384PP_AQ_BP,O2,Destination[1],F11,100
Source[1],384PP_AQ_BP,L17,Destination[1],F12,600
Source[1],384PP_AQ_BP,L23,Destination[1],F13,600
Source[1],384PP_AQ_BP,O1,Destination[1],F13,600
Source[1],384PP_AQ_BP,L23,Destination[1],F14,600
Source[1],384PP_AQ_BP,O1,Destination[1],F14,125
Source[1],384PP_AQ_BP,L23,Destination[1],F15,600
Source[1],384PP_AQ_BP,O1,Destination[1],F15,25
Source[1],384PP_AQ_BP,L23,Destination[1],F16,600
Source[1],384PP_AQ_BP,O2,Destination[1],F16,475
Source[1],384PP_AQ_BP,L23,Destination[1],F17,600
Source[1],384PP_AQ_BP,O2,Destination[1],F17,100
Source[1],384PP_AQ_BP,L23,Destination[1],F18,600
Source[1],384PP_AQ_BP,M11,Destination[1],F19,600
Source[1],384PP_AQ_BP,N17,Destination[1],F20,600
Source[1],384PP_AQ_BP,O1,Destination[1],F20,600
Source[1],384PP_AQ_BP,N17,Destination[1],F21,600
Source[1],384PP_AQ_BP,O1,Destination[1],F21,125
Source[1],384PP_AQ_BP,L1,Destination[1],G4,600
Source[1],384PP_AQ_BP,O1,Destination[1],G4,600
Source[1],384PP_AQ_BP,L1,Destination[1],G5,600
Source[1],384PP_AQ_BP,O1,Destination[1],G5,125
Source[1],384PP_AQ_BP,L1,Destination[1],G6,600
Source[1],384PP_AQ_BP,O1,Destination[1],G6,25
Source[1],384PP_AQ_BP,L7,Destination[1],G7,600
Source[1],384PP_AQ_BP,O2,Destination[1],G7,475
Source[1],384PP_AQ_BP,L7,Destination[1],G8,600
Source[1],384PP_AQ_BP,O2,Destination[1],G8,100
Source[1],384PP_AQ_BP,L7,Destination[1],G9,600
Source[1],384PP_AQ_BP,M1,Destination[1],G10,600
Source[1],384PP_AQ_BP,O1,Destination[1],G10,600
Source[1],384PP_AQ_BP,M3,Destination[1],G11,600
Source[1],384PP_AQ_BP,O1,Destination[1],G11,600
Source[1],384PP_AQ_BP,M5,Destination[1],G12,600
Source[1],384PP_AQ_BP,O1,Destination[1],G12,600
Source[1],384PP_AQ_BP,M7,Destination[1],G13,600
Source[1],384PP_AQ_BP,O1,Destination[1],G13,600
Source[1],384PP_AQ_BP,M9,Destination[1],G14,600
Source[1],384PP_AQ_BP,O1,Destination[1],G14,600
Source[1],384PP_AQ_BP,M11,Destination[1],G15,600
Source[1],384PP_AQ_BP,O1,Destination[1],G15,600
Source[1],384PP_AQ_BP,M13,Destination[1],G16,600
Source[1],384PP_AQ_BP,O1,Destination[1],G16,600
Source[1],384PP_AQ_BP,M15,Destination[1],G17,600
Source[1],384PP_AQ_BP,O1,Destination[1],G17,600
Source[1],384PP_AQ_BP,M17,Destination[1],G18,600
Source[1],384PP_AQ_BP,O1,Destination[1],G18,600
Source[1],384PP_AQ_BP,M13,Destination[1],G19,600
Source[1],384PP_AQ_BP,N13,Destination[1],G20,600
Source[1],384PP_AQ_BP,O1,Destination[1],G20,25
Source[1],384PP_AQ_BP,N13,Destination[1],G21,600
Source[1],384PP_AQ_BP,O2,Destination[1],G21,475
Source[1],384PP_AQ_BP,L3,Destination[1],H4,600
Source[1],384PP_AQ_BP,O1,Destination[1],H4,600
Source[1],384PP_AQ_BP,L3,Destination[1],H5,600
Source[1],384PP_AQ_BP,O1,Destination[1],H5,125
Source[1],384PP_AQ_BP,L3,Destination[1],H6,600
Source[1],384PP_AQ_BP,O1,Destination[1],H6,25
Source[1],384PP_AQ_BP,L9,Destination[1],H7,600
Source[1],384PP_AQ_BP,O2,Destination[1],H7,475
Source[1],384PP_AQ_BP,L9,Destination[1],H8,600
Source[1],384PP_AQ_BP,O2,Destination[1],H8,100
Source[1],384PP_AQ_BP,L9,Destination[1],H9,600
Source[1],384PP_AQ_BP,M1,Destination[1],H10,600
Source[1],384PP_AQ_BP,O1,Destination[1],H10,125
Source[1],384PP_AQ_BP,M3,Destination[1],H11,600
Source[1],384PP_AQ_BP,O1,Destination[1],H11,125
Source[1],384PP_AQ_BP,M5,Destination[1],H12,600
Source[1],384PP_AQ_BP,O1,Destination[1],H12,125
Source[1],384PP_AQ_BP,M7,Destination[1],H13,600
Source[1],384PP_AQ_BP,O1,Destination[1],H13,125
Source[1],384PP_AQ_BP,M9,Destination[1],H14,600
Source[1],384PP_AQ_BP,O1,Destination[1],H14,125
Source[1],384PP_AQ_BP,M11,Destination[1],H15,600
Source[1],384PP_AQ_BP,O1,Destination[1],H15,125
Source[1],384PP_AQ_BP,M13,Destination[1],H16,600
Source[1],384PP_AQ_BP,O1,Destination[1],H16,125
Source[1],384PP_AQ_BP,M15,Destination[1],H17,600
Source[1],384PP_AQ_BP,O1,Destination[1],H17,125
Source[1],384PP_AQ_BP,M17,Destination[1],H18,600
Source[1],384PP_AQ_BP,O1,Destination[1],H18,125
Source[1],384PP_AQ_BP,M15,Destination[1],H19,600
Source[1],384PP_AQ_BP,N15,Destination[1],H20,600
Source[1],384PP_AQ_BP,O1,Destination[1],H20,25
Source[1],384PP_AQ_BP,N15,Destination[1],H21,600
Source[1],384PP_AQ_BP,O2,Destination[1],H21,475
Source[1],384PP_AQ_BP,L5,Destination[1],I4,600
Source[1],384PP_AQ_BP,O1,Destination[1],I4,600
Source[1],384PP_AQ_BP,L5,Destination[1],I5,600
Source[1],384PP_AQ_BP,O1,Destination[1],I5,125
Source[1],384PP_AQ_BP,L5,Destination[1],I6,600
Source[1],384PP_AQ_BP,O1,Destination[1],I6,25
Source[1],384PP_AQ_BP,L11,Destination[1],I7,600
Source[1],384PP_AQ_BP,O2,Destination[1],I7,475
Source[1],384PP_AQ_BP,L11,Destination[1],I8,600
Source[1],384PP_AQ_BP,O2,Destination[1],I8,100
Source[1],384PP_AQ_BP,L11,Destination[1],I9,600
Source[1],384PP_AQ_BP,M1,Destination[1],I10,600
Source[1],384PP_AQ_BP,O1,Destination[1],I10,25
Source[1],384PP_AQ_BP,M3,Destination[1],I11,600
Source[1],384PP_AQ_BP,O1,Destination[1],I11,25
