,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,35-16_1_0,35-16_1_1,35-16_1_2,35-16_1_3,35-16_1_4,35-16_1_5,35-14_1_0,35-14_1_1,35-14_1_2,35-14_1_3,35-14_1_4,35-20_1_5,35-12_1_0,35-12_1_1,35-12_1_2,35-12_1_3,35-12_1_4,35-12_1_5,35-10_1_0,35-10_1_1,35-10_1_2,35-10_1_3,35-10_1_4,35-10_1_5
B,35-16_2_0,35-16_2_1,35-16_2_2,35-16_2_3,35-16_2_4,35-16_2_5,35-14_2_0,35-14_2_1,35-14_2_2,35-14_2_3,35-14_2_4,35-20_2_5,35-12_2_0,35-12_2_1,35-12_2_2,35-12_2_3,35-12_2_4,35-12_2_5,35-10_2_0,35-10_2_1,35-10_2_2,35-10_2_3,35-10_2_4,35-10_2_5
C,35-16_3_0,35-16_3_1,35-16_3_2,35-16_3_3,35-16_3_4,35-16_3_5,35-14_3_0,35-14_3_1,35-14_3_2,35-14_3_3,35-14_3_4,35-20_3_5,35-12_3_0,35-12_3_1,35-12_3_2,35-12_3_3,35-12_3_4,35-12_3_5,35-10_3_0,35-10_3_1,35-10_3_2,35-10_3_3,35-10_3_4,35-10_3_5
D,+ J106_1_0,+ J106_1_1,+ J106_1_2,+ J106_1_3,+ J106_1_4,+ J106_1_5,35-20_1_0,35-20_1_1,35-20_1_2,35-20_1_3,35-20_1_4,35-14_1_5,35-18_1_0,35-18_1_1,35-18_1_2,35-18_1_3,35-18_1_4,35-18_1_5,,,,,,
E,+ J106_2_0,+ J106_2_1,+ J106_2_2,+ J106_2_3,+ J106_2_4,+ J106_2_5,35-20_2_0,35-20_2_1,35-20_2_2,35-20_2_3,35-20_2_4,35-14_2_5,35-18_2_0,35-18_2_1,35-18_2_2,35-18_2_3,35-18_2_4,35-18_2_5,,,,,,
F,+ J106_3_0,+ J106_3_1,+ J106_3_2,+ J106_3_3,+ J106_3_4,+ J106_3_5,35-20_3_0,35-20_3_1,35-20_3_2,35-20_3_3,35-20_3_4,35-14_3_5,35-18_3_0,35-18_3_1,35-18_3_2,35-18_3_3,35-18_3_4,35-18_3_5,,,,,,
G,0_35-16_1_0,0_35-16_1_1,0_35-16_1_2,0_35-16_1_3,0_35-16_1_4,0_35-16_1_5,0_35-20_1_0,0_35-20_1_1,0_35-20_1_2,0_35-20_1_3,0_35-20_1_4,0_35-20_1_5,0_35-18_1_0,0_35-18_1_1,0_35-18_1_2,0_35-18_1_3,0_35-18_1_4,0_35-18_1_5,0_34-10_1_0,0_34-10_1_1,0_34-10_1_2,0_34-10_1_3,0_34-10_1_4,0_34-10_1_5
H,0_35-16_2_0,0_35-16_2_1,0_35-16_2_2,0_35-16_2_3,0_35-16_2_4,0_35-16_2_5,0_35-20_2_0,0_35-20_2_1,0_35-20_2_2,0_35-20_2_3,0_35-20_2_4,0_35-20_2_5,0_35-18_2_0,0_35-18_2_1,0_35-18_2_2,0_35-18_2_3,0_35-18_2_4,0_35-18_2_5,0_34-10_2_0,0_34-10_2_1,0_34-10_2_2,0_34-10_2_3,0_34-10_2_4,0_34-10_2_5
I,0_35-16_3_0,0_35-16_3_1,0_35-16_3_2,0_35-16_3_3,0_35-16_3_4,0_35-16_3_5,0_35-20_3_0,0_35-20_3_1,0_35-20_3_2,0_35-20_3_3,0_35-20_3_4,0_35-20_3_5,0_35-18_3_0,0_35-18_3_1,0_35-18_3_2,0_35-18_3_3,0_35-18_3_4,0_35-18_3_5,0_34-10_3_0,0_34-10_3_1,0_34-10_3_2,0_34-10_3_3,0_34-10_3_4,0_34-10_3_5
J,1_35-16_1_0,1_35-16_1_1,1_35-16_1_2,1_35-16_1_3,1_35-16_1_4,1_35-16_1_5,1_35-20_1_0,1_35-20_1_1,1_35-20_1_2,1_35-20_1_3,1_35-20_1_4,1_35-20_1_5,1_35-18_1_0,1_35-18_1_1,1_35-18_1_2,1_35-18_1_3,1_35-18_1_4,1_35-18_1_5,1_35-14_1_0,1_35-14_1_1,1_35-14_1_2,1_35-14_1_3,1_35-14_1_4,1_35-14_1_5
