Sample,Area
NI_0min_1.d ,65638.12
NI_0min_2.d ,63366.48
NI_0min_3.d ,63171.19
NI_1hr_1.d ,543779.03
NI_1hr_2.d ,560352.19
NI_1hr_3.d ,88363.63
NI_2hr_1.d ,547519.20
NI_2hr_2.d ,511226.26
NI_2hr_3.d ,519255.66
NI_30min_1.d ,520808.56
NI_30min_2.d ,502768.64
NI_30min_3.d ,434345.30
NI_4hr_1.d ,421340.99
NI_4hr_2.d ,536497.53
NI_4hr_3.d ,506794.52
no_inj.d ,2216.58
no_inj.d ,1532.02
no_inj_2.d ,926.03
no_inj_3.d ,730.40
no_inj_4.d ,692.30
PI_0min_1.d ,89094.93
PI_0min_2.d ,480663.81
PI_0min_3.d ,192608.68
PI_1hr_1.d ,471187.18
PI_1hr_2.d ,490429.78
PI_1hr_3.d ,512149.15
PI_2hr_1.d ,496074.97
PI_2hr_2.d ,507086.11
PI_2hr_3.d ,499621.24
PI_30min_1.d ,510033.99
PI_30min_2.d ,554459.93
PI_30min_3.d ,548939.08
PI_4hr_1.d ,449561.85
PI_4hr_2.d ,426142.23
PI_4hr_3.d ,473877.02
std_0.d ,531.66
std_1.d ,12305.03
std_2.d ,26418.64
std_3.d ,83384.99
std_4.d ,197467.29
std_5.d ,32533.05
