,PLP,Biotin,AMP,ATP,CoA,Mg-Act,HCT,Kan,formate,bicarbonate13,bicarbonate,KOH,NADH,Pyruvate,Malate,Serine,Std,P++,N++,no_pyc,pyc
P+,,,,1,1,2,10,1,15,,10,30,1,1,,,,10,,,
N+,,,,1,1,2,10,1,15,,10,30,1,1,,,,,10,,
P-,,,,1,1,2,10,1,15,,10,30,1,0,,,,10,,,
N-,,,,1,1,2,10,1,15,,10,30,1,0,,,,,10,,
Std_1,,,,,,,,,,,,,,0.5,0.5,0.5,10,,,,
Std_2,,,,,,,,,,,,,,0.25,0.25,0.25,10,,,,
Std_3,,,,,,,,,,,,,,0.125,0.125,0.125,10,,,,
Std_4,,,,,,,,,,,,,,0.0675,0.0675,0.0675,10,,,,
Std_5,,,,,,,,,,,,,,0,0,0,10,,,,
no_pyc_13,1,1,1,1,1,2,10,1,15,10,,30,1,,,1,,,,10,
pyc_13,1,1,1,1,1,2,10,1,15,10,,30,1,,,1,,,,,10
no_pyc,1,1,1,1,1,2,10,1,15,,10,30,1,,,1,,,,10,
pyc,1,1,1,1,1,2,10,1,15,,10,30,1,,,1,,,,,10
