Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,11650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,11650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,11650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A2,11650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B2,11650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C2,11650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A3,12150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B3,12150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C3,12150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A4,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B4,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C4,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,10900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,10900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,10900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,11650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,11650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,11650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,10400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A8,10900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B8,10900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C8,10900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,12150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,12150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,12150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A10,10900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B10,10900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C10,10900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A11,9650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B11,9650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C11,9650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A12,12150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B12,12150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C12,12150.0
