Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],L5,50.0
Source[1],384PP_AQ_BP,P1,Destination[1],L5,75.0
Source[1],384PP_AQ_BP,P2,Destination[1],L5,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],L5,100.0
Source[1],384PP_AQ_BP,P6,Destination[1],L5,75.0
Source[1],384PP_AQ_BP,P8,Destination[1],L5,100.0
Source[1],384PP_AQ_BP,P9,Destination[1],L5,50.0
Source[1],384PP_AQ_BP,P15,Destination[1],L5,125.0
Source[1],384PP_AQ_BP,A1,Destination[1],M5,100.0
Source[1],384PP_AQ_BP,P1,Destination[1],M5,75.0
Source[1],384PP_AQ_BP,P2,Destination[1],M5,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],M5,100.0
Source[1],384PP_AQ_BP,P4,Destination[1],M5,100.0
Source[1],384PP_AQ_BP,P6,Destination[1],M5,75.0
Source[1],384PP_AQ_BP,P8,Destination[1],M5,75.0
Source[1],384PP_AQ_BP,P9,Destination[1],M5,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],N5,175.0
Source[1],384PP_AQ_BP,P1,Destination[1],N5,75.0
Source[1],384PP_AQ_BP,P2,Destination[1],N5,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],N5,100.0
Source[1],384PP_AQ_BP,P6,Destination[1],N5,75.0
Source[1],384PP_AQ_BP,P8,Destination[1],N5,100.0
Source[1],384PP_AQ_BP,P9,Destination[1],N5,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],O5,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],O5,75.0
Source[1],384PP_AQ_BP,P9,Destination[1],O5,50.0
Source[1],384PP_AQ_BP,P15,Destination[1],O5,125.0
Source[1],384PP_AQ_BP,A1,Destination[1],P5,625.0
Source[1],384PP_AQ_BP,P1,Destination[1],P5,75.0
Source[1],384PP_AQ_BP,P9,Destination[1],P5,50.0
Source[1],384PP_AQ_BP,L24,Destination[1],L5,2250.0000000000005
Source[1],384PP_AQ_BP,L24,Destination[1],M5,2249.9999999999995
Source[1],384PP_AQ_BP,L24,Destination[1],N5,2250.0
Source[1],384PP_AQ_BP,L24,Destination[1],O5,2250.0
Source[1],384PP_AQ_BP,L24,Destination[1],P5,2250.0
