,Biotin,ATP,acetyl-CoA,Mg-Act,HCT,Kan,formate,HCO3,NADH,PLP,Malate,Pyruvate,Serine,AMP,KOH,pyc_plus,pyc_minus,std
ser_1000,1,1,1,2,10,1,15,10,1,1,,,1,1,30,10,,
ser_750,1,1,1,2,10,1,15,10,1,1,,,0.75,1,30,10,,
ser_500,1,1,1,2,10,1,15,10,1,1,,,0.5,1,30,10,,
ser_250,1,1,1,2,10,1,15,10,1,1,,,0.25,1,30,10,,
ser_0,1,1,1,2,10,1,15,10,1,1,,,,1,30,10,,
ppk_minus,1,1,1,2,10,1,15,10,1,1,,,1,1,30,,10,
std_600,,,,,,,,,,,0.6,0.6,0.6,,,,,10
std_400,,,,,,,,,,,0.4,0.4,0.4,,,,,10
std_200,,,,,,,,,,,0.2,0.2,0.2,,,,,10
std_0,,,,,,,,,,,,,,,,,,10
