,Biotin,ATP,acetyl-CoA,Mg-Act,HCT,Kan,formate,HCO3,NADH,PLP,Malate,Pyruvate,Serine,AMP,std,PB,0B,P0,no_cofactor
PB_PB,1,1,1,2,10,1,15,10,1,1,,,,,,10,,,
PB_P0,,1,1,2,10,1,15,10,1,1,,,,,,10,,,
PB_0B,1,1,1,2,10,1,15,10,1,,,,,,,10,,,
PB_00,,1,1,2,10,1,15,10,1,,,,,,,10,,,
P0_PB,1,1,1,2,10,1,15,10,1,1,,,,,,,,10,
P0_P0,,1,1,2,10,1,15,10,1,1,,,,,,,,10,
P0_0B,1,1,1,2,10,1,15,10,1,,,,,,,,,10,
P0_00,,1,1,2,10,1,15,10,1,,,,,,,,,10,
0B_PB,1,1,1,2,10,1,15,10,1,1,,,,,,,10,,
0B_P0,,1,1,2,10,1,15,10,1,1,,,,,,,10,,
0B_0B,1,1,1,2,10,1,15,10,1,,,,,,,,10,,
0B_00,,1,1,2,10,1,15,10,1,,,,,,,,10,,
00_PB,1,1,1,2,10,1,15,10,1,1,,,,,,,,,10
00_P0,,1,1,2,10,1,15,10,1,1,,,,,,,,,10
00_0B,1,1,1,2,10,1,15,10,1,,,,,,,,,,10
00_00,,1,1,2,10,1,15,10,1,,,,,,,,,,10
std_.5,,,,,,,,,,,0.5,0.5,0.5,,10,,,,
std_.375,,,,,,,,,,,0.375,0.375,0.375,,10,,,,
std_.25,,,,,,,,,,,0.25,0.25,0.25,,10,,,,
std_.125,,,,,,,,,,,0.125,0.125,0.125,,10,,,,
std_.0675,,,,,,,,,,,0.0675,0.0675,0.0675,,10,,,,
std_0,,,,,,,,,,,,,,,10,,,,
