Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],I6,175.0
Source[1],384PP_AQ_BP,P1,Destination[1],I6,75.0
Source[1],384PP_AQ_BP,P2,Destination[1],I6,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],I6,100.0
Source[1],384PP_AQ_BP,P8,Destination[1],I6,100.0
Source[1],384PP_AQ_BP,P9,Destination[1],I6,50.0
Source[1],384PP_AQ_BP,P16,Destination[1],I6,75.0
Source[1],384PP_AQ_BP,A1,Destination[1],J6,225.0
Source[1],384PP_AQ_BP,P1,Destination[1],J6,75.0
Source[1],384PP_AQ_BP,P2,Destination[1],J6,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],J6,100.0
Source[1],384PP_AQ_BP,P8,Destination[1],J6,100.0
Source[1],384PP_AQ_BP,P16,Destination[1],J6,75.0
Source[1],384PP_AQ_BP,A1,Destination[1],K6,250.0
Source[1],384PP_AQ_BP,P2,Destination[1],K6,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],K6,100.0
Source[1],384PP_AQ_BP,P8,Destination[1],K6,100.0
Source[1],384PP_AQ_BP,P9,Destination[1],K6,50.0
Source[1],384PP_AQ_BP,P16,Destination[1],K6,75.0
Source[1],384PP_AQ_BP,A1,Destination[1],L6,300.0
Source[1],384PP_AQ_BP,P2,Destination[1],L6,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],L6,100.0
Source[1],384PP_AQ_BP,P8,Destination[1],L6,100.0
Source[1],384PP_AQ_BP,P16,Destination[1],L6,75.0
Source[1],384PP_AQ_BP,A1,Destination[1],M6,750.0
Source[1],384PP_AQ_BP,I24,Destination[1],I6,2250.0
Source[1],384PP_AQ_BP,I24,Destination[1],J6,2249.9999999999995
Source[1],384PP_AQ_BP,I24,Destination[1],K6,2250.0
Source[1],384PP_AQ_BP,I24,Destination[1],L6,2249.9999999999995
Source[1],384PP_AQ_BP,I24,Destination[1],M6,2250.0
