Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A1,500
Source[1],384PP_AQ_BP,B1,Destination[1],A1,500
Source[1],384PP_AQ_BP,C1,Destination[1],A1,250
Source[1],384PP_AQ_BP,D1,Destination[1],A1,500
Source[1],384PP_AQ_BP,E1,Destination[1],A1,2500
Source[1],384PP_AQ_BP,F1,Destination[1],A1,100
Source[1],384PP_AQ_BP,G1,Destination[1],A1,400
Source[1],384PP_AQ_BP,H1,Destination[1],A1,1000
Source[1],384PP_AQ_BP,I1,Destination[1],A1,750
Source[1],384PP_AQ_BP,J1,Destination[1],A1,250
Source[1],384PP_AQ_BP,N1,Destination[1],A1,500
Source[1],384PP_AQ_BP,O1,Destination[1],A1,1250
Source[1],384PP_AQ_BP,P1,Destination[1],A1,1000
Source[1],384PP_AQ_BP,A1,Destination[1],B1,500
Source[1],384PP_AQ_BP,B1,Destination[1],B1,500
Source[1],384PP_AQ_BP,C1,Destination[1],B1,250
Source[1],384PP_AQ_BP,D1,Destination[1],B1,500
Source[1],384PP_AQ_BP,E1,Destination[1],B1,2500
Source[1],384PP_AQ_BP,F1,Destination[1],B1,100
Source[1],384PP_AQ_BP,G1,Destination[1],B1,400
Source[1],384PP_AQ_BP,H1,Destination[1],B1,1000
Source[1],384PP_AQ_BP,I1,Destination[1],B1,750
Source[1],384PP_AQ_BP,J1,Destination[1],B1,250
Source[1],384PP_AQ_BP,N1,Destination[1],B1,500
Source[1],384PP_AQ_BP,O1,Destination[1],B1,1250
Source[1],384PP_AQ_BP,P1,Destination[1],B1,1000
Source[1],384PP_AQ_BP,A1,Destination[1],C1,500
Source[1],384PP_AQ_BP,B1,Destination[1],C1,500
Source[1],384PP_AQ_BP,C1,Destination[1],C1,250
Source[1],384PP_AQ_BP,D1,Destination[1],C1,500
Source[1],384PP_AQ_BP,E1,Destination[1],C1,2500
Source[1],384PP_AQ_BP,F1,Destination[1],C1,100
Source[1],384PP_AQ_BP,G1,Destination[1],C1,400
Source[1],384PP_AQ_BP,H1,Destination[1],C1,1000
Source[1],384PP_AQ_BP,I1,Destination[1],C1,750
Source[1],384PP_AQ_BP,J1,Destination[1],C1,250
Source[1],384PP_AQ_BP,N1,Destination[1],C1,500
Source[1],384PP_AQ_BP,O1,Destination[1],C1,1250
Source[1],384PP_AQ_BP,P1,Destination[1],C1,1000
Source[1],384PP_AQ_BP,A1,Destination[1],A2,500
Source[1],384PP_AQ_BP,B1,Destination[1],A2,500
Source[1],384PP_AQ_BP,C1,Destination[1],A2,250
Source[1],384PP_AQ_BP,D1,Destination[1],A2,500
Source[1],384PP_AQ_BP,E1,Destination[1],A2,2500
Source[1],384PP_AQ_BP,F1,Destination[1],A2,100
Source[1],384PP_AQ_BP,G1,Destination[1],A2,400
Source[1],384PP_AQ_BP,H1,Destination[1],A2,1000
Source[1],384PP_AQ_BP,I1,Destination[1],A2,750
Source[1],384PP_AQ_BP,J1,Destination[1],A2,250
Source[1],384PP_AQ_BP,N1,Destination[1],A2,500
Source[1],384PP_AQ_BP,O1,Destination[1],A2,1250
Source[1],384PP_AQ_BP,P1,Destination[1],A2,1000
Source[1],384PP_AQ_BP,A1,Destination[1],B2,500
Source[1],384PP_AQ_BP,B1,Destination[1],B2,500
Source[1],384PP_AQ_BP,C1,Destination[1],B2,250
Source[1],384PP_AQ_BP,D1,Destination[1],B2,500
Source[1],384PP_AQ_BP,E1,Destination[1],B2,2500
Source[1],384PP_AQ_BP,F1,Destination[1],B2,100
Source[1],384PP_AQ_BP,G1,Destination[1],B2,400
Source[1],384PP_AQ_BP,H1,Destination[1],B2,1000
Source[1],384PP_AQ_BP,I1,Destination[1],B2,750
Source[1],384PP_AQ_BP,J1,Destination[1],B2,250
Source[1],384PP_AQ_BP,N1,Destination[1],B2,500
Source[1],384PP_AQ_BP,O1,Destination[1],B2,1250
Source[1],384PP_AQ_BP,P1,Destination[1],B2,1000
Source[1],384PP_AQ_BP,A1,Destination[1],C2,500
