"D:\Projects\Marchand\Data\Carothers\230117\24_1_1.d"," -ESI EIC(505.9879) Scan Frag=175.0V 24_1_1.d "
"D:\Projects\Marchand\Data\Carothers\230117\24_1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230117\24_1_1.d" ,"1" ,4.396,4.468,4.890,244022.23,2031178.11,100.00,100.00,100.00,0.493,0.107,0.00,10181.38,3.953,4.402,6.558,7.424,0.00,0.00,4.56,244022.23,,,  ,191.0166,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230117\24_1_2.d"," -ESI EIC(505.9879) Scan Frag=175.0V 24_1_2.d "
"D:\Projects\Marchand\Data\Carothers\230117\24_1_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230117\24_1_2.d" ,"1" ,4.555,4.622,4.849,100787.02,445923.78,100.00,100.00,100.00,0.294,0.061,406.13,2425.17,0.087,4.566,5.270,10.987,0.00,0.00,2.64,100787.02,,,  ,191.0166,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230117\24_1_3.d"," -ESI EIC(505.9879) Scan Frag=175.0V 24_1_3.d "
"D:\Projects\Marchand\Data\Carothers\230117\24_1_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230117\24_1_3.d" ,"1" ,4.524,4.618,5.017,778016.00,5738099.38,100.00,100.00,100.00,0.493,0.113,0.00,6180.65,0.072,4.530,6.492,7.841,0.00,0.00,2.02,778016.00,,,  ,505.9892,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230117\24_2_1.d"," -ESI EIC(505.9879) Scan Frag=175.0V 24_2_1.d "
"D:\Projects\Marchand\Data\Carothers\230117\24_2_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230117\24_2_1.d" ,"1" ,4.384,4.462,4.888,334696.78,2333191.93,100.00,100.00,100.00,0.504,0.096,384.69,6617.27,0.054,4.068,6.518,7.507,0.00,0.00,4.21,334696.78,,,  ,191.0166,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230117\24_2_2.d"," -ESI EIC(505.9879) Scan Frag=175.0V 24_2_2.d "
"D:\Projects\Marchand\Data\Carothers\230117\24_2_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230117\24_2_2.d" ,"1" ,4.470,4.553,5.018,486930.53,3855589.27,100.00,100.00,100.00,0.549,0.122,0.00,5157.57,3.976,4.470,6.510,7.887,0.00,0.00,2.40,486930.53,,,  ,191.0166,,,,,,,,,,,,

