"D:\Projects\Marchand\Data\Carothers\230117\24_1_1.d"," -ESI EIC(191.0192) Scan Frag=175.0V 24_1_1.d "
"D:\Projects\Marchand\Data\Carothers\230117\24_1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230117\24_1_1.d" ,"1" ,4.036,4.141,4.474,2715101.79,27506853.75,100.00,100.00,100.00,0.438,0.097,9115.34,639673.00,3.437,3.520,6.558,6.658,0.00,84362.49,27.28,2735389.75,,99.26,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230117\24_1_2.d"," -ESI EIC(191.0192) Scan Frag=175.0V 24_1_2.d "
"D:\Projects\Marchand\Data\Carothers\230117\24_1_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230117\24_1_2.d" ,"1" ,4.106,4.195,4.600,1736769.76,22959070.78,100.00,100.00,100.00,0.493,0.166,83639.94,368635.69,3.829,3.857,6.573,6.607,0.00,53862.53,25.20,1746451.63,,99.45,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230117\24_1_3.d"," -ESI EIC(191.0192) Scan Frag=175.0V 24_1_3.d "
"D:\Projects\Marchand\Data\Carothers\230117\24_1_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230117\24_1_3.d" ,"1" ,3.997,4.175,4.563,3613645.00,43659910.08,100.00,100.00,100.00,0.565,0.141,28029.37,493706.25,3.831,3.892,4.557,4.568,0.00,0.00,3.89,3613645.00,,,  ,191.0166,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230117\24_2_1.d"," -ESI EIC(191.0192) Scan Frag=175.0V 24_2_1.d "
"D:\Projects\Marchand\Data\Carothers\230117\24_2_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230117\24_2_1.d" ,"1" ,3.996,4.101,4.439,3323817.59,32890625.09,100.00,100.00,100.00,0.444,0.102,14727.03,537968.56,3.752,3.796,6.640,6.890,0.00,138028.14,20.76,3356593.50,,99.02,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230117\24_2_2.d"," -ESI EIC(191.0192) Scan Frag=175.0V 24_2_2.d "
"D:\Projects\Marchand\Data\Carothers\230117\24_2_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230117\24_2_2.d" ,"1" ,4.032,4.137,4.497,3582377.00,37623163.24,100.00,100.00,100.00,0.466,0.118,14544.60,473344.22,3.893,3.910,4.497,4.503,0.00,0.00,4.33,3582377.00,,,  ,191.0166,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230117\24_2_3.d"," -ESI EIC(191.0192) Scan Frag=175.0V 24_2_3.d "
"D:\Projects\Marchand\Data\Carothers\230117\24_2_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
