Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A2,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B2,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C2,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A3,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B3,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C3,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A4,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B4,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C4,17150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A8,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B8,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C8,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,17675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,17675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,17675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A10,17675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B10,17675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C10,17675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A11,17675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B11,17675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C11,17675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A12,17675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B12,17675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C12,17675.0
