"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_12.d"," -ESI EIC(133.0136) Scan Frag=175.0V redo_12.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_12.d" ,"1" ,4.073,4.272,4.339,6794.02,37713.06,100.00,100.00,100.00,0.266,0.057,0.00,1350.07,0.553,4.123,4.478,4.555,0.00,0.00,1.30,6794.02,,,  ,248.9703,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_13.d"," -ESI EIC(133.0136) Scan Frag=175.0V redo_13.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_13.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_13.d" ,"1" ,3.991,4.257,4.363,8072.64,68369.68,100.00,100.00,100.00,0.371,0.067,298.19,2229.10,0.543,3.991,4.712,4.712,-168.72,253.09,1.54,8206.10,,98.37,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_14.d"," -ESI EIC(133.0136) Scan Frag=175.0V redo_14.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_14.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_14.d" ,"1" ,4.003,4.297,4.380,10464.04,85328.23,100.00,100.00,100.00,0.376,0.073,46.38,53.14,0.544,4.019,4.773,4.784,46.38,53.14,0.29,10515.69,,,  ,346.0579,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_15.d"," -ESI EIC(133.0136) Scan Frag=175.0V redo_15.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_15.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_15.d" ,"1" ,4.008,4.307,4.479,11751.18,111455.60,100.00,100.00,100.00,0.471,0.073,0.00,0.00,0.543,4.035,4.518,6.558,0.00,0.00,0.60,11751.18,,,  ,346.0579,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_16.d"," -ESI EIC(133.0136) Scan Frag=175.0V redo_16.d "
