"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_12.d"," -ESI EIC(664.1169) Scan Frag=175.0V redo_12.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_12.d" ,"1" ,2.576,2.587,2.593,653.84,361.27,100.00,100.00,100.00,0.017,0.020,0.00,0.00,1.379,2.571,2.598,2.748,0.00,0.00,0.24,653.84,,,  ,237.0884,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_13.d"," -ESI EIC(664.1169) Scan Frag=175.0V redo_13.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_13.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_13.d" ,"1" ,2.755,2.766,2.783,695.84,610.71,100.00,100.00,100.00,0.028,0.046,0.00,0.00,2.572,2.749,2.810,3.426,0.00,0.00,0.41,695.84,,,  ,237.0884,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_14.d"," -ESI EIC(664.1169) Scan Frag=175.0V redo_14.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_14.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_14.d" ,"1" ,1.059,1.070,1.098,898.34,1259.32,100.00,100.00,100.00,0.039,0.048,0.00,0.00,0.544,1.070,1.070,6.558,0.00,0.00,0.73,898.34,,,  ,141.0138,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_15.d"," -ESI EIC(664.1169) Scan Frag=175.0V redo_15.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_15.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_15.d" ,"1" ,1.031,1.064,1.108,854.17,2244.38,100.00,100.00,100.00,0.078,0.043,0.00,0.00,0.055,1.058,1.070,6.558,0.00,0.00,1.32,854.17,,,  ,141.0138,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_16.d"," -ESI EIC(664.1169) Scan Frag=175.0V redo_16.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_16.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_16.d" ,"1" ,3.947,4.008,4.141,435510.85,1018677.95,100.00,100.00,100.00,0.194,0.033,4236.30,1190.51,2.584,3.914,4.136,4.258,630.65,929.50,1.23,436235.41,,,  ,664.1163,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_17.d"," -ESI EIC(664.1169) Scan Frag=175.0V redo_17.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_17.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
