"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_12.d"," -ESI EIC(87.0082) Scan Frag=175.0V redo_12.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_12.d" ,"1" ,0.819,0.880,1.041,2391.47,6527.15,100.00,100.00,100.00,0.222,0.325,264.52,0.00,0.064,0.813,1.041,10.987,-38.85,155.42,0.05,2406.05,,63.28,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_13.d"," -ESI EIC(87.0082) Scan Frag=175.0V redo_13.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_13.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_13.d" ,"1" ,0.776,0.865,0.981,5455.94,16286.98,100.00,100.00,100.00,0.205,0.043,557.66,519.85,0.055,0.759,0.981,10.989,57.19,171.56,2.62,5562.58,,98.08,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_14.d"," -ESI EIC(87.0082) Scan Frag=175.0V redo_14.d "
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_14.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230120_plasmid_titrate\redo_14.d" ,"1" ,0.815,0.849,0.932,4570.31,16548.64,100.00,100.00,100.00,0.116,0.056,0.00,0.00,0.544,0.826,0.954,6.558,0.00,0.00,2.72,4570.31,,,  ,248.9703,,,,,,,,,,,,
