Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A1,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A1,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A1,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],A1,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A1,1000.0
Source[1],384PP_AQ_BP,J1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,M1,Destination[1],A1,1250.0
Source[1],384PP_AQ_BP,N1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],A1,1000.0
Source[3],384PP_AQ_BP,H7,Destination[1],A1,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A2,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A2,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A2,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],A2,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A2,1000.0
Source[1],384PP_AQ_BP,J1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,M1,Destination[1],A2,1250.0
Source[1],384PP_AQ_BP,N1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],A2,1000.0
Source[3],384PP_AQ_BP,H7,Destination[1],A2,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A3,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A3,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A3,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],A3,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A3,1000.0
Source[1],384PP_AQ_BP,J1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,M1,Destination[1],A3,1250.0
Source[1],384PP_AQ_BP,N1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],A3,1000.0
Source[3],384PP_AQ_BP,H7,Destination[1],A3,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,M1,Destination[1],A4,1250.0
Source[3],384PP_AQ_BP,O6,Destination[1],A4,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B4,100.0
Source[1],384PP_AQ_BP,M1,Destination[1],B4,1250.0
Source[3],384PP_AQ_BP,O6,Destination[1],B4,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],C4,100.0
Source[1],384PP_AQ_BP,M1,Destination[1],C4,1250.0
Source[3],384PP_AQ_BP,O6,Destination[1],C4,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B1,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],B1,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B1,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],B1,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],B1,1000.0
Source[1],384PP_AQ_BP,J1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,M1,Destination[1],B1,1250.0
Source[1],384PP_AQ_BP,N1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],B1,1000.0
Source[3],384PP_AQ_BP,I7,Destination[1],B1,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B2,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],B2,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B2,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],B2,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],B2,1000.0
Source[1],384PP_AQ_BP,J1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,M1,Destination[1],B2,1250.0
Source[1],384PP_AQ_BP,N1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],B2,1000.0
Source[3],384PP_AQ_BP,I7,Destination[1],B2,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B3,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B3,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B3,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],B3,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],B3,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B3,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],B3,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],B3,1000.0
Source[1],384PP_AQ_BP,J1,Destination[1],B3,500.0
Source[1],384PP_AQ_BP,M1,Destination[1],B3,1250.0
Source[1],384PP_AQ_BP,N1,Destination[1],B3,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],B3,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],B3,1000.0
Source[3],384PP_AQ_BP,I7,Destination[1],B3,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],C1,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],C1,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],C1,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],C1,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],C1,1000.0
