,Biotin,ATP,acetyl-CoA,Mg-Act,HCT,Kan,formate,HCO3,NADH,PLP,Malate,Pyruvate,Serine,AMP,polyphosphate,ppk_Mt,ppk_Pa,ppk_neg,std,mt_only,pa_only
ppk_Mt_PP,1,1,1,2,10,1,15,10,1,1,,,1,1,5,10,,,,,
ppk_Pa_PP,1,1,1,2,10,1,15,10,1,1,,,1,1,5,,10,,,,
ppk_neg_PP,1,1,1,2,10,1,15,10,1,1,,,1,1,5,,,10,,,
ppk_Mt,1,1,1,2,10,1,15,10,1,1,,,1,1,,10,,,,,
ppk_Pa,1,1,1,2,10,1,15,10,1,1,,,1,1,,,10,,,,
ppk_neg,1,1,1,2,10,1,15,10,1,1,,,1,1,,,,10,,,
atp_regen_mt,,0.2,,,,,,,,,,,,,5,,,,,10,
atp_regen_pa,,0.2,,,,,,,,,,,,,5,,,,,,10
atp_regen_neg,,0.2,,,,,,,,,,,,,5,,,,10,,
std_1,,,,,,,,,,,,,,,,,,,10,,
std_2,,0.05,,,,,,,0.05,,0.05,0.05,0.05,,,,,,10,,
std_3,,0.1,,,,,,,0.1,,0.1,0.1,0.1,,,,,,10,,
std_4,,0.25,,,,,,,0.25,,0.25,0.25,0.25,,,,,,10,,
