,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,
G,,,,,,,std,,,,,,,,,,,,,,,,,
H,,,,,,,ppk_Mt,,,,,,,,,,,,,,,,,
I,,,,,,,ppk_Pa,,,,,,,,,,,,,,,,,
J,,,,,,,ppk_neg,,,,,,,,,,,,,,,,,
K,,,,,,,gfp_1,,,,,,,,,,,,,,,,,
L,,,,,,,gfp_2,,,,,,,,,,,,,,,,,
M,,,,,,,gfp_3,,,,,,,,,,,,,,,,,
N,,,,,,,gfp_4,,,,,,,,,,,,,,,,,
O,,,,,,,gfp_5,,,,,,,,,,,,,,,,,
P,,,,,,,gfp_6,,,,,,,,,,,,,,,,,
