Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,M1,Destination[1],A1,1250.0
Source[1],384PP_AQ_BP,N3,Destination[1],A1,500.0
Source[3],384PP_AQ_BP,A11,Destination[1],A1,2500.0
Source[1],384PP_AQ_BP,M1,Destination[1],A2,1250.0
Source[1],384PP_AQ_BP,N3,Destination[1],A2,500.0
Source[3],384PP_AQ_BP,A11,Destination[1],A2,2500.0
Source[1],384PP_AQ_BP,M1,Destination[1],A3,1250.0
Source[1],384PP_AQ_BP,N3,Destination[1],A3,500.0
Source[3],384PP_AQ_BP,A11,Destination[1],A3,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A4,500.0
Source[1],384PP_AQ_BP,B3,Destination[1],A4,250.0
Source[1],384PP_AQ_BP,O3,Destination[1],A4,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],A4,500.0
Source[3],384PP_AQ_BP,D11,Destination[1],A4,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A5,500.0
Source[1],384PP_AQ_BP,B3,Destination[1],A5,250.0
Source[1],384PP_AQ_BP,O3,Destination[1],A5,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],A5,500.0
Source[3],384PP_AQ_BP,D11,Destination[1],A5,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A6,500.0
Source[1],384PP_AQ_BP,B3,Destination[1],A6,250.0
Source[1],384PP_AQ_BP,O3,Destination[1],A6,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],A6,500.0
Source[3],384PP_AQ_BP,D11,Destination[1],A6,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A7,50.0
Source[1],384PP_AQ_BP,L1,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,B3,Destination[1],A7,25.0
Source[1],384PP_AQ_BP,O3,Destination[1],A7,50.0
Source[1],384PP_AQ_BP,N3,Destination[1],A7,50.0
Source[3],384PP_AQ_BP,B11,Destination[1],A7,2500.0
Source[1],384PP_AQ_BP,N3,Destination[1],B1,500.0
Source[3],384PP_AQ_BP,A11,Destination[1],B1,2500.0
Source[1],384PP_AQ_BP,N3,Destination[1],B2,500.0
Source[3],384PP_AQ_BP,A11,Destination[1],B2,2500.0
Source[1],384PP_AQ_BP,N3,Destination[1],B3,500.0
Source[3],384PP_AQ_BP,A11,Destination[1],B3,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B4,500.0
Source[1],384PP_AQ_BP,G1,Destination[1],B4,400.0
Source[1],384PP_AQ_BP,B3,Destination[1],B4,250.0
Source[1],384PP_AQ_BP,O3,Destination[1],B4,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],B4,500.0
Source[3],384PP_AQ_BP,D11,Destination[1],B4,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B5,500.0
Source[1],384PP_AQ_BP,G1,Destination[1],B5,400.0
Source[1],384PP_AQ_BP,B3,Destination[1],B5,250.0
Source[1],384PP_AQ_BP,O3,Destination[1],B5,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],B5,500.0
Source[3],384PP_AQ_BP,D11,Destination[1],B5,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B6,500.0
Source[1],384PP_AQ_BP,G1,Destination[1],B6,400.0
Source[1],384PP_AQ_BP,B3,Destination[1],B6,250.0
Source[1],384PP_AQ_BP,O3,Destination[1],B6,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],B6,500.0
Source[3],384PP_AQ_BP,D11,Destination[1],B6,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B7,100.0
Source[1],384PP_AQ_BP,L1,Destination[1],B7,200.0
Source[1],384PP_AQ_BP,B3,Destination[1],B7,50.0
Source[1],384PP_AQ_BP,O3,Destination[1],B7,100.0
Source[1],384PP_AQ_BP,N3,Destination[1],B7,100.0
Source[3],384PP_AQ_BP,B11,Destination[1],B7,2500.0
Source[1],384PP_AQ_BP,M1,Destination[1],C1,1250.0
Source[1],384PP_AQ_BP,N3,Destination[1],C1,500.0
Source[3],384PP_AQ_BP,B11,Destination[1],C1,2500.0
Source[1],384PP_AQ_BP,M1,Destination[1],C2,1250.0
Source[1],384PP_AQ_BP,N3,Destination[1],C2,500.0
Source[3],384PP_AQ_BP,B11,Destination[1],C2,2500.0
Source[1],384PP_AQ_BP,M1,Destination[1],C3,1250.0
Source[1],384PP_AQ_BP,N3,Destination[1],C3,500.0
Source[3],384PP_AQ_BP,B11,Destination[1],C3,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],C4,500.0
Source[1],384PP_AQ_BP,F1,Destination[1],C4,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],C4,400.0
Source[1],384PP_AQ_BP,N1,Destination[1],C4,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],C4,500.0
Source[1],384PP_AQ_BP,B3,Destination[1],C4,250.0
Source[1],384PP_AQ_BP,O3,Destination[1],C4,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],C4,500.0
Source[3],384PP_AQ_BP,E11,Destination[1],C4,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],C5,500.0
Source[1],384PP_AQ_BP,F1,Destination[1],C5,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],C5,400.0
Source[1],384PP_AQ_BP,N1,Destination[1],C5,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],C5,500.0
Source[1],384PP_AQ_BP,B3,Destination[1],C5,250.0
Source[1],384PP_AQ_BP,O3,Destination[1],C5,500.0
Source[1],384PP_AQ_BP,M3,Destination[1],C5,500.0
Source[3],384PP_AQ_BP,E11,Destination[1],C5,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],C6,500.0
Source[1],384PP_AQ_BP,F1,Destination[1],C6,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],C6,400.0
Source[1],384PP_AQ_BP,N1,Destination[1],C6,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],C6,500.0
Source[1],384PP_AQ_BP,B3,Destination[1],C6,250.0
Source[1],384PP_AQ_BP,O3,Destination[1],C6,500.0
