Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,18250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A2,18250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A3,18250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A4,18250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,18250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,18250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,22250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,19500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B2,19500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B3,19500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B4,17850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,17850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,17850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,22000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,18250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C2,18250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C3,18250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C4,16825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,16825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,16825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,21750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D1,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D2,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D3,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D4,11575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D5,11575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D6,11575.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D7,21500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E1,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E2,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E3,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E4,12825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E5,12825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E6,12825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F4,12825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F5,12825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F6,12825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G4,12825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G5,12825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G6,12825.0
