,Biotin,ATP,acetyl-CoA,Mg-Act,HCT,Kan,formate,HCO3,NADH,PLP,Malate,Pyruvate,Serine,AMP,polyphosphate,Glycine,THF,ADP,NADPH,ppk,std,tdcb-ctrl,mod-1,mod-1+1,mod-1+3,mod-3_ctrl-1,mod_3_ctrl-2,mod_3_ctrl-3
ppk_pos,,,,,,,,,,,,,,,5,,,1,,10,,,,,,,,
ppk_neg,,,,,,,,,,,,,,,,,,1,,10,,,,,,,,
blank_polyP,,,,,,,,,,,,,,,5,,,1,,,10,,,,,,,
std_1,,0.1,,,,,,,,,0.1,,,,,0.1,0.1,0.1,,,10,,,,,,,
std_2,,0.2,,,,,,,,,0.2,,,,,0.2,0.2,0.2,,,10,,,,,,,
std_3,,0.3,,,,,,,,,0.3,,,,,0.3,0.3,0.3,,,10,,,,,,,
std_4,,0.4,,,,,,,,,0.4,,,,,0.4,0.4,0.4,,,10,,,,,,,
tdcb_pos,,,,,,1,,,,1,,,1,1,,,,,,,,10,,,,,,
tdcb_neg,,,,,,1,,,,1,,,1,1,,,,,,,10,,,,,,,
mod-1_neg,,1,,,,,,,,,,,,,,1,1,,1,,,,10,,,,,
mod-1,,1,,,,,15,,,,,,,,,1,1,,1,,,,10,,,,,
mod-1+1,,1,,,,1,15,,,1,,,,1,,1,1,,1,,,,,10,,,,
mod-1+3,1,1,1,2,10,1,15,10,1,1,,,,1,,1,1,,1,,,,,,10,,,
mod-3_ctrl-1,1,1,1,2,10,1,15,10,1,1,,,,1,,,,,,,,,,,,10,,
mod_3_ctrl-2,1,1,1,2,10,1,15,10,1,1,,,,1,,,,,,,,,,,,,10,
mod_3_ctrl-3,1,1,1,2,10,1,15,10,1,1,,,,1,,,,,,,,,,,,,,10
