Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A1,1375.0
Source[1],384PP_AQ_BP,P17,Destination[1],A1,125.0
Source[1],384PP_AQ_BP,A1,Destination[1],B1,1500.0
Source[1],384PP_AQ_BP,A1,Destination[1],C1,1250.0
Source[1],384PP_AQ_BP,P8,Destination[1],C1,125.0
Source[1],384PP_AQ_BP,P9,Destination[1],C1,125.0
Source[1],384PP_AQ_BP,A1,Destination[1],D1,1025.0
Source[1],384PP_AQ_BP,P3,Destination[1],D1,100.0
Source[1],384PP_AQ_BP,P9,Destination[1],D1,125.0
Source[1],384PP_AQ_BP,O1,Destination[1],D1,50.0
Source[1],384PP_AQ_BP,O2,Destination[1],D1,25.0
Source[1],384PP_AQ_BP,O3,Destination[1],D1,50.0
Source[1],384PP_AQ_BP,O4,Destination[1],D1,25.0
Source[1],384PP_AQ_BP,O11,Destination[1],D1,100.0
Source[1],384PP_AQ_BP,A1,Destination[1],E1,900.0
Source[1],384PP_AQ_BP,P3,Destination[1],E1,100.0
Source[1],384PP_AQ_BP,P8,Destination[1],E1,125.0
Source[1],384PP_AQ_BP,P9,Destination[1],E1,125.0
Source[1],384PP_AQ_BP,O1,Destination[1],E1,50.0
Source[1],384PP_AQ_BP,O2,Destination[1],E1,25.0
Source[1],384PP_AQ_BP,O3,Destination[1],E1,50.0
Source[1],384PP_AQ_BP,O4,Destination[1],E1,25.0
Source[1],384PP_AQ_BP,O11,Destination[1],E1,100.0
Source[1],384PP_AQ_BP,A1,Destination[1],F1,350.0
Source[1],384PP_AQ_BP,P1,Destination[1],F1,125.0
Source[1],384PP_AQ_BP,P2,Destination[1],F1,375.0
Source[1],384PP_AQ_BP,P3,Destination[1],F1,100.0
Source[1],384PP_AQ_BP,P5,Destination[1],F1,50.0
Source[1],384PP_AQ_BP,P8,Destination[1],F1,125.0
Source[1],384PP_AQ_BP,P9,Destination[1],F1,125.0
Source[1],384PP_AQ_BP,O1,Destination[1],F1,50.0
Source[1],384PP_AQ_BP,O2,Destination[1],F1,25.0
Source[1],384PP_AQ_BP,O3,Destination[1],F1,50.0
Source[1],384PP_AQ_BP,O4,Destination[1],F1,25.0
Source[1],384PP_AQ_BP,O11,Destination[1],F1,100.0
Source[1],384PP_AQ_BP,A1,Destination[1],G1,600.0
Source[1],384PP_AQ_BP,P1,Destination[1],G1,125.0
Source[1],384PP_AQ_BP,P2,Destination[1],G1,375.0
Source[1],384PP_AQ_BP,P3,Destination[1],G1,100.0
Source[1],384PP_AQ_BP,P5,Destination[1],G1,50.0
Source[1],384PP_AQ_BP,P8,Destination[1],G1,125.0
Source[1],384PP_AQ_BP,P9,Destination[1],G1,125.0
Source[1],384PP_AQ_BP,A1,Destination[1],H1,975.0
Source[1],384PP_AQ_BP,P1,Destination[1],H1,125.0
Source[1],384PP_AQ_BP,P3,Destination[1],H1,100.0
Source[1],384PP_AQ_BP,P5,Destination[1],H1,50.0
Source[1],384PP_AQ_BP,P8,Destination[1],H1,125.0
Source[1],384PP_AQ_BP,P9,Destination[1],H1,125.0
Source[1],384PP_AQ_BP,A12,Destination[1],A1,4500.0
Source[1],384PP_AQ_BP,A12,Destination[1],B1,4500.0
Source[1],384PP_AQ_BP,A12,Destination[1],C1,4500.0
Source[1],384PP_AQ_BP,A12,Destination[1],D1,4500.0
Source[1],384PP_AQ_BP,A12,Destination[1],E1,4500.0
Source[1],384PP_AQ_BP,A12,Destination[1],F1,4500.0
Source[1],384PP_AQ_BP,A12,Destination[1],G1,4500.000000000001
Source[1],384PP_AQ_BP,A12,Destination[1],H1,4500.000000000001
