Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A2,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A3,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A4,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,18225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A8,18225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,18225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A10,18225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A11,18225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A12,18225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,17450.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B2,17450.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B3,17450.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B4,17450.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,17450.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,17450.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,16149.999999999998
Source[2],6RES_AQ_BP2,A2,Destination[1],B8,16149.999999999998
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,16149.999999999998
Source[2],6RES_AQ_BP2,A2,Destination[1],B10,16149.999999999998
Source[2],6RES_AQ_BP2,A2,Destination[1],B11,16149.999999999998
Source[2],6RES_AQ_BP2,A2,Destination[1],B12,16149.999999999998
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C2,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C3,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C4,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C8,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C10,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C11,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C12,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D1,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D2,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D3,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D4,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D5,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D6,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D7,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D8,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D9,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D10,16650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D11,16650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D12,16650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E1,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E2,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E3,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E4,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E5,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E6,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E7,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E8,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E9,19075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F1,18075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F2,16149.999999999998
Source[2],6RES_AQ_BP2,A2,Destination[1],F3,14225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F4,12300.0
