,Biotin,ATP,acetyl-CoA,Mg-Act,HCT,Kan,formate,HCO3,NADH,PLP,Malate,Pyruvate,Serine,AMP,polyphosphate,Glycine,"5,10-CH=THF","5,10-CH2-THF",THF,ADP,KOH,NH4COOH,NADP,NAD,NADPH,lipoic_acid_red,DTT,TdcB_plus,neg,glyA_plus,ppk12_plus,ppkMt_plus,ppkPa_plus,mod1_pos,mod2_pos,fdhAT,fdhSN
TdcB_plus,,,,,,1,,,,1,,,1,1,,,,,,,,,,,,,,10,,,,,,,,,
TdcB_neg,,,,,,1,,,,1,,,1,1,,,,,,,,,,,,,,,10,,,,,,,,
glyA_plus,,,,,,1,,,,1,,,,,,1,,1,,,,,,,,,,,,10,,,,,,,
glyA_neg,,,,,,1,,,,1,,,,,,1,,1,,,,,,,,,,,10,,,,,,,,
ppk12_plus,,,,,,,,,,,,,,,10,,,,,1,,,,,,,,,,,10,,,,,,
ppkMt_plus,,,,,,,,,,,,,,,10,,,,,1,,,,,,,,,,,,10,,,,,
ppkPa_plus,,,,,,,,,,,,,,,10,,,,,1,,,,,,,,,,,,,10,,,,
ppk_neg,,,,,,,,,,,,,,,10,,,,,1,,,,,,,,,10,,,,,,,,
mod1_pos,,1,,,,,15,,,,,,,,,,,,1,,1,,,,1,,1,,,,,,,10,,,
mod1_neg,,1,,,,,15,,,,,,,,,,,,1,,1,,,,1,,1,,10,,,,,,,,
mod2_pos,,,,,,,15,5,1,1,,,,,,,,1,,,1,1,,,,1,1,,,,,,,,10,,
mod2_form,,,,,,,15,5,1,1,,,,,,,,,1,,1,1,,,,1,1,,,,,,,,10,,
mod2_neg,,,,,,,15,5,1,1,,,,,,,,1,,,1,1,,,,1,1,,10,,,,,,,,
fdhAT_NADH,,,,,,,15,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,
fdhAT_NADPH,,,,,,,15,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,10,
fdhSN_NADH,,,,,,,15,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,10
fdhSN_NADPH,,,,,,,15,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,10
NADH_neg,,,,,,,15,,1,,,,,,,,,,,,1,,,,,,,,10,,,,,,,,
NADPH_neg,,,,,,,15,,,,,,,,,,,,,,1,,,,1,,,,10,,,,,,,,
std_1,,0.2,,,,,,,0.2,,,,,,,0.2,0.2,0.2,0.2,0.2,,,0.2,0.2,0.2,,,,10,,,,,,,,
std_2,,0.4,,,,,,,0.4,,,,,,,0.4,0.4,0.4,0.4,0.4,,,0.4,0.4,0.4,,,,10,,,,,,,,
std_3,,0.6,,,,,,,0.6,,,,,,,0.6,0.6,0.6,0.6,0.6,,,0.6,0.6,0.6,,,,10,,,,,,,,
std_4,,0.8,,,,,,,0.8,,,,,,,0.8,0.8,0.8,0.8,0.8,,,0.8,0.8,0.8,,,,10,,,,,,,,
