"D:\Projects\Marchand\Data\Carothers\230208\0.d"," -ESI EIC(104.0347) Scan Frag=175.0V 0.d "
"No integration results available"
"D:\Projects\Marchand\Data\Carothers\230208\1.d"," -ESI EIC(104.0347) Scan Frag=175.0V 1.d "
"D:\Projects\Marchand\Data\Carothers\230208\1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230208\1.d" ,"1" ,3.529,3.579,3.595,1094.51,2889.01,100.00,100.00,100.00,0.066,0.195,0.00,0.00,0.548,3.545,3.584,6.554,0.00,0.00,0.08,1094.51,,,  ,248.9740,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230208\6.d"," -ESI EIC(104.0347) Scan Frag=175.0V 6.d "
"D:\Projects\Marchand\Data\Carothers\230208\6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230208\6.d" ,"1" ,4.383,4.389,4.400,419.80,248.59,100.00,100.00,100.00,0.017,3.809,0.00,0.00,0.544,4.383,4.394,6.555,0.00,0.00,0.00,419.80,,,  ,248.9740,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230208\blank_1.d"," -ESI EIC(104.0347) Scan Frag=175.0V blank_1.d "
"D:\Projects\Marchand\Data\Carothers\230208\blank_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230208\blank_1.d" ,"1" ,3.602,3.613,3.618,563.64,330.95,100.00,100.00,100.00,0.017,2.857,0.00,0.00,0.549,3.613,3.613,6.555,0.00,0.00,0.00,563.64,,,  ,216.9972,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230208\blank_2.d"," -ESI EIC(104.0347) Scan Frag=175.0V blank_2.d "
"D:\Projects\Marchand\Data\Carothers\230208\blank_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230208\blank_2.d" ,"1" ,3.470,3.481,3.486,373.25,230.34,100.00,100.00,100.00,0.017,2.465,0.00,0.00,0.544,3.481,3.481,6.556,0.00,0.00,0.00,373.25,,,  ,248.9740,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230208\blank_3.d"," -ESI EIC(104.0347) Scan Frag=175.0V blank_3.d "
