Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,B1,Destination[1],F1,100
Source[1],384PP_AQ_BP,J1,Destination[1],F1,100
Source[1],384PP_AQ_BP,B3,Destination[1],F1,50
Source[1],384PP_AQ_BP,P3,Destination[1],F1,200
Source[1],384PP_AQ_BP,O3,Destination[1],F1,100
Source[1],384PP_AQ_BP,N3,Destination[1],F1,100
Source[1],384PP_AQ_BP,M3,Destination[1],F1,100
Source[1],384PP_AQ_BP,P4,Destination[1],F1,125
Source[1],384PP_AQ_BP,J4,Destination[1],F1,50
Source[1],384PP_AQ_BP,M4,Destination[1],F1,1000
Source[1],384PP_AQ_BP,B1,Destination[1],F2,200
Source[1],384PP_AQ_BP,J1,Destination[1],F2,200
Source[1],384PP_AQ_BP,B3,Destination[1],F2,100
Source[1],384PP_AQ_BP,P3,Destination[1],F2,400
Source[1],384PP_AQ_BP,O3,Destination[1],F2,200
Source[1],384PP_AQ_BP,N3,Destination[1],F2,200
Source[1],384PP_AQ_BP,M3,Destination[1],F2,200
Source[1],384PP_AQ_BP,P4,Destination[1],F2,250
Source[1],384PP_AQ_BP,J4,Destination[1],F2,100
Source[1],384PP_AQ_BP,M4,Destination[1],F2,2000
Source[1],384PP_AQ_BP,B1,Destination[1],F3,300
Source[1],384PP_AQ_BP,J1,Destination[1],F3,300
Source[1],384PP_AQ_BP,B3,Destination[1],F3,150
Source[1],384PP_AQ_BP,P3,Destination[1],F3,600
Source[1],384PP_AQ_BP,O3,Destination[1],F3,300
Source[1],384PP_AQ_BP,N3,Destination[1],F3,300
Source[1],384PP_AQ_BP,M3,Destination[1],F3,300
Source[1],384PP_AQ_BP,P4,Destination[1],F3,375
Source[1],384PP_AQ_BP,J4,Destination[1],F3,150
Source[1],384PP_AQ_BP,M4,Destination[1],F3,3000
Source[1],384PP_AQ_BP,B1,Destination[1],F4,400
Source[1],384PP_AQ_BP,J1,Destination[1],F4,400
Source[1],384PP_AQ_BP,B3,Destination[1],F4,200
Source[1],384PP_AQ_BP,P3,Destination[1],F4,800
Source[1],384PP_AQ_BP,O3,Destination[1],F4,400
Source[1],384PP_AQ_BP,N3,Destination[1],F4,400
Source[1],384PP_AQ_BP,M3,Destination[1],F4,400
Source[1],384PP_AQ_BP,P4,Destination[1],F4,500
Source[1],384PP_AQ_BP,J4,Destination[1],F4,200
Source[1],384PP_AQ_BP,M4,Destination[1],F4,4000
Source[3],384PP_AQ_BP,P11,Destination[1],F1,2500
Source[3],384PP_AQ_BP,P11,Destination[1],F2,2500
Source[3],384PP_AQ_BP,P11,Destination[1],F3,2500
Source[3],384PP_AQ_BP,P11,Destination[1],F4,2500
