"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_1.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_1.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_1.d" ,"1" ,4.451,4.529,4.756,27963.49,116466.73,100.00,100.00,100.00,0.305,0.055,513.17,834.24,0.551,4.462,4.767,6.557,0.00,0.00,1.87,27963.49,,,  ,662.0975,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_2.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_2.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_2.d" ,"1" ,4.458,4.530,4.719,32996.36,123408.22,100.00,100.00,100.00,0.260,0.050,751.62,818.40,0.552,4.453,4.774,10.988,0.00,0.00,1.82,32996.36,,,  ,662.0975,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_3.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_3.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_3.d" ,"1" ,4.458,4.524,4.763,39679.33,153902.22,100.00,100.00,100.00,0.305,0.050,903.59,769.63,0.552,4.452,4.779,6.558,0.00,0.00,1.91,39679.33,,,  ,662.0975,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_4.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_4.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_4.d" ,"1" ,4.413,4.529,4.623,37701.43,124740.48,100.00,100.00,100.00,0.211,0.435,826.39,2055.71,0.551,4.069,4.623,4.623,826.39,2055.71,0.16,39207.16,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_5.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_5.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_5.d" ,"1" ,4.373,4.528,4.639,38472.26,129852.09,100.00,100.00,100.00,0.266,0.434,709.28,1856.10,0.556,4.074,4.639,4.639,709.28,1856.10,0.15,39850.47,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_6.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_6.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_6.d" ,"1" ,4.400,4.538,4.727,41835.10,153850.14,100.00,100.00,100.00,0.327,0.435,562.32,1234.67,0.555,4.068,4.727,4.727,562.32,1234.67,0.14,42682.30,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_7.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_7.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_7.d" ,"1" ,4.371,4.520,4.808,42807.30,162724.27,100.00,100.00,100.00,0.438,0.437,565.85,784.68,0.542,4.060,4.808,4.808,565.85,784.68,0.19,43447.95,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_8.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_8.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_8.d" ,"1" ,4.338,4.537,4.664,43158.63,157640.88,100.00,100.00,100.00,0.327,0.437,742.14,1331.86,0.543,4.072,4.664,4.664,742.14,1331.86,0.14,44260.59,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_9.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_9.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_9.d" ,"1" ,4.364,4.525,4.790,43260.45,171939.30,100.00,100.00,100.00,0.427,0.436,514.16,965.11,0.558,4.065,4.790,4.790,514.16,965.11,0.19,43944.45,,,  ,,,,,M,,,,,,,,

