"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_1.d"," -ESI EIC(426.0216) Scan Frag=175.0V hydrogel_1.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_1.d" ,"1" ,4.485,4.540,4.612,1756.66,5670.69,100.00,100.00,100.00,0.127,0.053,286.05,335.33,3.438,4.490,4.662,4.834,224.19,256.17,0.90,1994.76,,,  ,662.0975,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_2.d"," -ESI EIC(426.0216) Scan Frag=175.0V hydrogel_2.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_2.d" ,"1" ,4.492,4.536,4.595,2306.38,5814.97,100.00,100.00,100.00,0.103,0.036,302.00,254.59,2.940,4.508,4.575,10.988,223.82,254.59,1.62,2543.38,,,  ,662.0975,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_3.d"," -ESI EIC(426.0216) Scan Frag=175.0V hydrogel_3.d "
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230209_hydrogel\hydrogel_3.d" ,"1" ,4.492,4.530,4.574,2823.10,7315.54,100.00,100.00,100.00,0.082,0.043,291.32,415.33,2.945,4.491,4.607,10.987,291.32,326.49,1.19,3130.67,,,  ,662.0975,,,,,,,,,,,,
