Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,F1,Destination[1],A1,25
Source[1],384PP_AQ_BP,I1,Destination[1],A1,750
Source[1],384PP_AQ_BP,N1,Destination[1],A1,500
Source[1],384PP_AQ_BP,O1,Destination[1],A1,500
Source[1],384PP_AQ_BP,P1,Destination[1],A1,1000
Source[1],384PP_AQ_BP,F1,Destination[1],A2,25
Source[1],384PP_AQ_BP,I1,Destination[1],A2,750
Source[1],384PP_AQ_BP,N1,Destination[1],A2,500
Source[1],384PP_AQ_BP,O1,Destination[1],A2,500
Source[1],384PP_AQ_BP,P1,Destination[1],A2,1000
Source[1],384PP_AQ_BP,F1,Destination[1],A3,25
Source[1],384PP_AQ_BP,I1,Destination[1],A3,750
Source[1],384PP_AQ_BP,N1,Destination[1],A3,500
Source[1],384PP_AQ_BP,O1,Destination[1],A3,500
Source[1],384PP_AQ_BP,P1,Destination[1],A3,1000
Source[1],384PP_AQ_BP,F1,Destination[1],A4,25
Source[1],384PP_AQ_BP,I1,Destination[1],A4,750
Source[1],384PP_AQ_BP,N1,Destination[1],A4,500
Source[1],384PP_AQ_BP,O1,Destination[1],A4,500
Source[1],384PP_AQ_BP,P1,Destination[1],A4,1000
Source[1],384PP_AQ_BP,F1,Destination[1],A5,25
Source[1],384PP_AQ_BP,I1,Destination[1],A5,750
Source[1],384PP_AQ_BP,N1,Destination[1],A5,500
Source[1],384PP_AQ_BP,O1,Destination[1],A5,500
Source[1],384PP_AQ_BP,P1,Destination[1],A5,1000
Source[1],384PP_AQ_BP,F1,Destination[1],A6,25
Source[1],384PP_AQ_BP,I1,Destination[1],A6,750
Source[1],384PP_AQ_BP,N1,Destination[1],A6,500
Source[1],384PP_AQ_BP,O1,Destination[1],A6,500
Source[1],384PP_AQ_BP,P1,Destination[1],A6,1000
Source[1],384PP_AQ_BP,F1,Destination[1],A7,25
Source[1],384PP_AQ_BP,I1,Destination[1],A7,750
Source[1],384PP_AQ_BP,O1,Destination[1],A7,500
Source[1],384PP_AQ_BP,P1,Destination[1],A7,1000
Source[1],384PP_AQ_BP,F1,Destination[1],A8,25
Source[1],384PP_AQ_BP,I1,Destination[1],A8,750
Source[1],384PP_AQ_BP,O1,Destination[1],A8,500
Source[1],384PP_AQ_BP,P1,Destination[1],A8,1000
Source[1],384PP_AQ_BP,F1,Destination[1],A9,25
Source[1],384PP_AQ_BP,I1,Destination[1],A9,750
Source[1],384PP_AQ_BP,O1,Destination[1],A9,500
Source[1],384PP_AQ_BP,P1,Destination[1],A9,1000
Source[1],384PP_AQ_BP,F1,Destination[1],B1,25
Source[1],384PP_AQ_BP,I1,Destination[1],B1,750
Source[1],384PP_AQ_BP,N1,Destination[1],B1,500
Source[1],384PP_AQ_BP,O1,Destination[1],B1,500
Source[1],384PP_AQ_BP,P1,Destination[1],B1,1000
Source[1],384PP_AQ_BP,F1,Destination[1],B2,25
Source[1],384PP_AQ_BP,I1,Destination[1],B2,750
Source[1],384PP_AQ_BP,N1,Destination[1],B2,500
Source[1],384PP_AQ_BP,O1,Destination[1],B2,500
Source[1],384PP_AQ_BP,P1,Destination[1],B2,1000
Source[1],384PP_AQ_BP,F1,Destination[1],B3,25
Source[1],384PP_AQ_BP,I1,Destination[1],B3,750
