Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A10,Destination[1],N14,500.0
Source[1],384PP_AQ_BP,P8,Destination[1],N14,200.0
Source[1],384PP_AQ_BP,P9,Destination[1],N14,50.0
Source[1],384PP_AQ_BP,A10,Destination[1],O14,550.0
Source[1],384PP_AQ_BP,P9,Destination[1],O14,50.0
Source[1],384PP_AQ_BP,O11,Destination[1],O14,150.0
Source[1],384PP_AQ_BP,A10,Destination[1],P14,700.0
Source[1],384PP_AQ_BP,P9,Destination[1],P14,50.0
Source[1],384PP_AQ_BP,O23,Destination[1],N14,2250.0
Source[1],384PP_AQ_BP,O23,Destination[1],O14,2250.0000000000005
Source[1],384PP_AQ_BP,O23,Destination[1],P14,2250.0
