"D:\Projects\Marchand\Data\Carothers\230217\tdcb_0_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_0_1.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_0_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_0_1.d" ,"1" ,4.477,4.588,4.815,25439.65,299911.97,100.00,100.00,100.00,0.338,0.181,0.00,4045.15,4.322,4.477,4.799,4.837,0.00,0.00,2.35,25439.65,,,  ,248.9658,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230217\tdcb_0_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_0_2.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_0_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_0_2.d" ,"1" ,4.477,4.560,4.804,27961.44,314591.19,100.00,100.00,100.00,0.327,0.185,0.00,4528.37,4.328,4.472,4.793,4.832,0.00,0.00,3.47,27961.44,,,  ,248.9658,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230217\tdcb_0_3.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_0_3.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_0_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_0_3.d" ,"1" ,4.468,4.557,4.712,27266.58,264786.22,100.00,100.00,100.00,0.244,0.187,0.00,5017.96,4.324,4.468,4.706,4.740,0.00,0.00,2.27,27266.58,,,  ,248.9658,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230217\tdcb_10_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_10_1.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_10_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_10_1.d" ,"1" ,4.464,4.525,4.919,86028.13,703442.54,100.00,100.00,100.00,0.454,0.101,0.00,9237.12,4.392,4.442,6.448,8.085,0.00,0.00,3.94,86028.13,,,  ,248.9658,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230217\tdcb_10_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_10_2.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_10_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_10_2.d" ,"1" ,4.451,4.512,4.833,22485.86,217093.69,100.00,100.00,100.00,0.382,0.139,0.00,0.00,4.324,4.335,4.739,4.844,0.00,0.00,4.05,22485.86,,,  ,248.9658,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230217\tdcb_10_3.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_10_3.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_10_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_10_3.d" ,"1" ,4.456,4.517,4.727,51461.06,454561.11,100.00,100.00,100.00,0.271,0.147,0.00,4964.61,4.350,4.456,4.711,4.760,0.00,0.00,4.09,51461.06,,,  ,248.9658,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230217\tdcb_2.5_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_2.5_1.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_2.5_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_2.5_1.d" ,"1" ,4.473,4.550,4.805,27782.45,322020.22,100.00,100.00,100.00,0.332,0.179,0.00,3903.02,4.329,4.473,4.800,4.839,0.00,0.00,3.98,27782.45,,,  ,248.9658,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230217\tdcb_2.5_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_2.5_2.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_2.5_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_2.5_2.d" ,"1" ,4.475,4.614,4.819,23940.04,292977.14,100.00,100.00,100.00,0.344,0.184,0.00,3767.98,4.337,4.475,4.797,4.835,0.00,0.00,1.70,23940.04,,,  ,248.9658,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230217\tdcb_2.5_3.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_2.5_3.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_2.5_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_2.5_3.d" ,"1" ,4.487,4.586,4.814,21595.19,271005.79,100.00,100.00,100.00,0.327,0.266,0.00,4806.63,4.326,4.470,4.791,4.841,0.00,0.00,2.66,21595.19,,,  ,248.9658,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230217\tdcb_5_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_5_1.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_5_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_5_1.d" ,"1" ,4.471,4.554,4.726,37815.54,378135.06,100.00,100.00,100.00,0.255,0.187,0.00,4941.54,4.465,4.471,4.698,4.754,0.00,0.00,2.48,37815.54,,,  ,248.9658,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230217\tdcb_5_2.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_5_2.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_5_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_5_2.d" ,"1" ,4.460,4.538,4.826,37197.17,399625.33,100.00,100.00,100.00,0.366,0.188,0.00,3030.16,4.333,4.460,4.798,4.837,0.00,0.00,3.57,37197.17,,,  ,248.9658,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230217\tdcb_5_3.d"," -ESI EIC(133.0136) Scan Frag=175.0V tdcb_5_3.d "
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_5_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230217\tdcb_5_3.d" ,"1" ,4.464,4.553,4.813,33810.76,375880.45,100.00,100.00,100.00,0.349,0.185,0.00,2849.60,4.331,4.464,4.796,4.835,0.00,0.00,3.12,33810.76,,,  ,248.9658,,,,,,,,,,,,

