"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\blank_1.d"," -ESI EIC(666.1325) Scan Frag=175.0V blank_1.d "
"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\blank_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\blank_1.d" ,"1" ,4.811,4.833,4.850,567.52,870.04,100.00,100.00,100.00,0.039,0.030,0.00,0.00,4.800,4.811,4.855,4.855,0.00,0.00,0.72,567.52,,,  ,248.9666,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\blank_2.d"," -ESI EIC(666.1325) Scan Frag=175.0V blank_2.d "
"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\blank_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\blank_2.d" ,"1" ,4.785,4.813,4.818,676.36,798.81,100.00,100.00,100.00,0.033,3.915,0.00,0.00,0.547,4.807,4.818,10.999,0.00,0.00,0.00,676.36,,,  ,540.0545,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\blank_3.d"," -ESI EIC(666.1325) Scan Frag=175.0V blank_3.d "
"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\blank_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\blank_3.d" ,"1" ,4.766,4.789,4.794,569.58,650.44,100.00,100.00,100.00,0.028,3.870,0.00,0.00,0.545,4.783,4.794,10.986,0.00,0.00,0.00,569.58,,,  ,540.0545,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\fdh_1.d"," -ESI EIC(666.1325) Scan Frag=175.0V fdh_1.d "
"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\fdh_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\fdh_1.d" ,"1" ,4.388,4.427,4.488,4595.22,11053.70,100.00,100.00,100.00,0.100,0.038,0.00,0.00,3.275,4.388,4.488,4.499,0.00,0.00,1.56,4595.22,,,  ,133.0113,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\fdh_2.d"," -ESI EIC(666.1325) Scan Frag=175.0V fdh_2.d "
"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\fdh_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\fdh_2.d" ,"1" ,4.391,4.435,4.485,4757.55,11658.35,100.00,100.00,100.00,0.094,0.036,0.00,0.00,3.931,4.391,4.485,4.695,0.00,0.00,1.04,4757.55,,,  ,133.0113,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230228_pure_hydrogel\fdh_3.d"," -ESI EIC(666.1325) Scan Frag=175.0V fdh_3.d "
