Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A2,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A3,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B2,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B3,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C2,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C3,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A4,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B4,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C4,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A8,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B8,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C8,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D1,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D2,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D3,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E1,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E2,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E3,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F1,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F2,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F3,17975.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D4,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D5,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D6,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E4,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E5,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E6,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F4,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F5,15225.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F6,15225.0
