"D:\Projects\Marchand\Data\Carothers\230315\find.d"," -ESI EIC(87.0082) Scan Frag=175.0V find.d "
"D:\Projects\Marchand\Data\Carothers\230315\find.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230315\find.d" ,"1" ,0.584,0.606,0.612,689.98,672.92,100.00,100.00,100.00,0.028,0.047,0.00,0.00,0.545,0.601,0.612,6.556,0.00,0.00,0.10,689.98,,,  ,248.9741,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230315\glu-blank.d"," -ESI EIC(87.0082) Scan Frag=175.0V glu-blank.d "
"D:\Projects\Marchand\Data\Carothers\230315\glu-blank.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230315\glu-blank.d" ,"1" ,4.777,4.794,4.821,572.02,1023.02,100.00,100.00,100.00,0.044,4.238,0.00,0.00,0.544,4.788,4.799,6.555,0.00,0.00,0.01,572.02,,,  ,248.9650,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230315\glu-tx.d"," -ESI EIC(87.0082) Scan Frag=175.0V glu-tx.d "
"D:\Projects\Marchand\Data\Carothers\230315\glu-tx.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230315\glu-tx.d" ,"1" ,0.997,1.053,1.158,6031.00,24530.25,100.00,100.00,100.00,0.161,0.067,0.00,0.00,0.543,1.014,1.141,6.554,0.00,0.00,2.21,6031.00,,,  ,248.9650,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230315\gly-blank.d"," -ESI EIC(87.0082) Scan Frag=175.0V gly-blank.d "
"D:\Projects\Marchand\Data\Carothers\230315\gly-blank.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230315\gly-blank.d" ,"1" ,4.727,4.838,4.888,1561.89,7190.41,100.00,100.00,100.00,0.161,0.617,0.00,0.00,0.067,4.810,4.843,10.985,0.00,0.00,0.08,1561.89,,,  ,248.9650,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230315\gly-tx.d"," -ESI EIC(87.0082) Scan Frag=175.0V gly-tx.d "
"D:\Projects\Marchand\Data\Carothers\230315\gly-tx.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230315\gly-tx.d" ,"1" ,1.000,1.056,1.166,5696.97,24851.12,100.00,100.00,100.00,0.166,0.067,0.00,0.00,0.546,1.017,1.150,6.557,0.00,0.00,2.87,5696.97,,,  ,248.9650,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230315\INIT.d"," -ESI EIC(87.0082) Scan Frag=175.0V INIT.d "
"D:\Projects\Marchand\Data\Carothers\230315\INIT.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230315\INIT.d" ,"1" ,6.202,6.219,6.235,621.00,758.55,100.00,100.00,100.00,0.033,5.665,0.00,0.00,0.545,6.213,6.224,6.557,0.00,0.00,0.00,621.00,,,  ,248.9650,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230315\Rxn_A_Ctrl_1_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V Rxn_A_Ctrl_1_1.d "
"D:\Projects\Marchand\Data\Carothers\230315\Rxn_A_Ctrl_1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230315\Rxn_A_Ctrl_1_1.d" ,"1" ,0.945,1.033,1.222,15370.68,69365.67,100.00,100.00,100.00,0.277,0.068,0.00,0.00,0.557,0.972,1.122,3.610,0.00,0.00,1.41,15370.68,,,  ,122.9751,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230315\Rxn_A_Ctrl_1_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V Rxn_A_Ctrl_1_2.d "
"D:\Projects\Marchand\Data\Carothers\230315\Rxn_A_Ctrl_1_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230315\Rxn_A_Ctrl_1_2.d" ,"1" ,0.982,1.038,1.110,13206.78,57158.78,100.00,100.00,100.00,0.127,0.075,0.00,0.00,0.556,0.982,1.110,3.625,0.00,0.00,1.32,13206.78,,,  ,248.9650,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230315\Rxn_A_Ctrl_1_3.d"," -ESI EIC(87.0082) Scan Frag=175.0V Rxn_A_Ctrl_1_3.d "
