"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_1.d"," -ESI EIC(666.1325) Scan Frag=175.0V mod2_t0_1.d "
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_1.d" ,"1" ,4.342,4.420,4.554,111243.55,375472.75,100.00,100.00,100.00,0.212,0.054,1356.97,1515.27,0.542,4.331,4.625,4.730,948.70,1515.27,1.17,112399.88,,,  ,664.1180,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_2.d"," -ESI EIC(666.1325) Scan Frag=175.0V mod2_t0_2.d "
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_2.d" ,"1" ,4.341,4.419,4.613,115701.56,410314.96,100.00,100.00,100.00,0.271,0.054,1487.61,669.03,0.962,4.336,4.563,4.746,214.14,415.87,1.21,115973.34,,,  ,664.1180,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_3.d"," -ESI EIC(666.1325) Scan Frag=175.0V mod2_t0_3.d "
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_3.d" ,"1" ,4.344,4.416,4.562,122105.01,411192.29,100.00,100.00,100.00,0.218,0.051,2499.12,854.92,0.632,4.333,4.610,4.732,386.98,854.92,1.31,122646.59,,,  ,664.1180,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_4.d"," -ESI EIC(666.1325) Scan Frag=175.0V mod2_t0_4.d "
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_4.d" ,"1" ,4.347,4.419,4.549,138871.32,411263.64,100.00,100.00,100.00,0.203,0.042,2342.08,2017.94,0.978,4.335,4.607,4.734,1062.91,2017.94,1.33,140273.14,,,  ,664.1180,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_5.d"," -ESI EIC(666.1325) Scan Frag=175.0V mod2_t0_5.d "
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
