"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_1.d"," -ESI EIC(444.1632) Scan Frag=175.0V mod2_t0_1.d "
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_1.d" ,"1" ,4.775,4.880,4.930,122109,423625,100.00,100.00,100.00,0.155,,12300,6219,5877,6219,,128218,,95.24,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_2.d"," -ESI EIC(444.1632) Scan Frag=175.0V mod2_t0_2.d "
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_2.d" ,"1" ,4.790,4.873,4.928,158423,483537,100.00,100.00,100.00,0.139,,26826,8760,5705,8760,,165961,,95.46,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_3.d"," -ESI EIC(444.1632) Scan Frag=175.0V mod2_t0_3.d "
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_3.d" ,"1" ,4.776,4.876,4.931,176751,574197,100.00,100.00,100.00,0.155,,20435,8345,4208,8345,,183618,,96.26,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_4.d"," -ESI EIC(444.1632) Scan Frag=175.0V mod2_t0_4.d "
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_4.d" ,"1" ,4.762,4.878,4.939,165598,563408,100.00,100.00,100.00,0.177,,12780,7155,12780,7155,,174687,,94.80,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_5.d"," -ESI EIC(444.1632) Scan Frag=175.0V mod2_t0_5.d "
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_5.d" ,"1" ,4.732,4.876,4.931,197324,803282,100.00,100.00,100.00,0.199,,3338,9670,3338,9670,,205235,,96.15,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_6.d"," -ESI EIC(444.1632) Scan Frag=175.0V mod2_t0_6.d "
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t0_6.d" ,"1" ,4.724,4.801,4.929,177142,770102,100.00,100.00,100.00,0.205,,2683,4736,2683,4736,,180603,,98.08,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230310_mod2\mod2_t1_1.d"," -ESI EIC(444.1632) Scan Frag=175.0V mod2_t1_1.d "
