Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],P1,400.0
Source[1],384PP_AQ_BP,A3,Destination[1],P1,100.0
Source[1],384PP_AQ_BP,A4,Destination[1],P1,75.0
Source[1],384PP_AQ_BP,A6,Destination[1],P1,175.0
Source[1],384PP_AQ_BP,A1,Destination[1],P2,75.0
Source[1],384PP_AQ_BP,A3,Destination[1],P2,100.0
Source[1],384PP_AQ_BP,A4,Destination[1],P2,75.0
Source[1],384PP_AQ_BP,A7,Destination[1],P2,500.0
Source[1],384PP_AQ_BP,A1,Destination[1],P3,325.0
Source[1],384PP_AQ_BP,A2,Destination[1],P3,75.0
Source[1],384PP_AQ_BP,A3,Destination[1],P3,100.0
Source[1],384PP_AQ_BP,A4,Destination[1],P3,75.0
Source[1],384PP_AQ_BP,A5,Destination[1],P3,175.0
Source[1],384PP_AQ_BP,P24,Destination[1],P1,2250.0
Source[1],384PP_AQ_BP,P24,Destination[1],P2,2250.0
Source[1],384PP_AQ_BP,P24,Destination[1],P3,2250.0
