Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,12500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A4,12750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,13000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A10,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A11,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A12,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E1,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E2,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E3,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F1,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F2,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F3,11900.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,12500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B4,12750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,13000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B10,14400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B11,14400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B12,14400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E4,14400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E5,14400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E6,14400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F4,14400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F5,14400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F6,14400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,12625.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C4,12750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,12750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C10,13000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D1,12625.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D4,12750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D7,12750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D10,13000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E7,13000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E10,13500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F7,13000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F10,13500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H1,18500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H2,19250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H3,19625.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H4,19775.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H5,20000.0
