"D:\Projects\Marchand\Data\Carothers\040623\flush.d"," -ESI EIC(664.1169) Scan Frag=175.0V flush.d "
"No integration results available"
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_1.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_1.d "
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_1.d" ,"1" ,4.280,4.341,4.446,3816.81,9575.94,100.00,100.00,100.00,0.166,0.035,0.00,0.00,4.280,4.280,4.795,4.862,0.00,0.00,1.31,3816.81,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_2.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_2.d "
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_2.d" ,"1" ,4.264,4.325,4.385,5028.15,13801.79,100.00,100.00,100.00,0.122,0.039,0.00,0.00,0.058,4.291,4.374,4.635,0.00,0.00,1.39,5028.15,,,  ,248.9670,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_3.d"," -ESI EIC(664.1169) Scan Frag=175.0V hydrogel_3.d "
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_3.d" ,"1" ,4.277,4.332,4.499,4160.92,12886.95,100.00,100.00,100.00,0.222,0.040,0.00,243.91,4.277,4.277,4.781,4.870,0.00,0.00,1.64,4160.92,,,  ,,,,,M,,,,,,,,
