"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_1.d"," -ESI EIC(133.0136) Scan Frag=175.0V hydrogel_rerun_1.d "
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_1.d" ,"1" ,4.369,4.446,4.900,261164.05,2509438.61,100.00,100.00,100.00,0.532,0.137,8063.51,0.00,4.330,4.357,5.150,5.155,0.00,0.00,6.83,261164.05,,,  ,248.9749,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_10.d"," -ESI EIC(133.0136) Scan Frag=175.0V hydrogel_rerun_10.d "
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_10.d" ,"1" ,4.279,4.368,4.728,334685.59,2552811.33,100.00,100.00,100.00,0.449,0.088,4385.09,0.00,4.246,4.279,5.049,5.077,0.00,0.00,5.07,334685.59,,,  ,133.0164,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_11.d"," -ESI EIC(133.0136) Scan Frag=175.0V hydrogel_rerun_11.d "
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_11.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_11.d" ,"1" ,4.098,4.259,4.364,19638.55,119043.68,100.00,100.00,100.00,0.266,0.090,0.00,3689.50,4.087,4.098,4.308,4.397,0.00,0.00,1.27,19638.55,,,  ,248.9749,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_12.d"," -ESI EIC(133.0136) Scan Frag=175.0V hydrogel_rerun_12.d "
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_12.d" ,"1" ,4.135,4.235,4.362,30442.85,158983.64,100.00,100.00,100.00,0.227,0.080,1486.85,3950.08,0.057,4.096,4.340,4.390,0.00,0.00,2.06,30442.85,,,  ,146.0429,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_13.d"," -ESI EIC(133.0136) Scan Frag=175.0V hydrogel_rerun_13.d "
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_13.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_13.d" ,"1" ,4.305,4.377,4.771,196951.61,1966112.34,100.00,100.00,100.00,0.465,0.158,7320.92,0.00,4.244,4.283,5.020,5.635,0.00,0.00,6.62,196951.61,,,  ,248.9749,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_14.d"," -ESI EIC(133.0136) Scan Frag=175.0V hydrogel_rerun_14.d "
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_14.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_14.d" ,"1" ,4.352,4.430,4.590,57857.39,449015.39,100.00,100.00,100.00,0.238,0.128,8609.15,10631.24,4.324,4.363,4.557,4.618,0.00,0.00,1.79,57857.39,,,  ,248.9749,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_15.d"," -ESI EIC(133.0136) Scan Frag=175.0V hydrogel_rerun_15.d "
"D:\Projects\Marchand\Data\Carothers\040623\hydrogel_rerun_15.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
