Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,12375.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A2,12375.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A3,12375.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,18075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,18075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,18075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,19350.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A10,19350.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A11,19350.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A12,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B2,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B3,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,9875.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,9875.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,9875.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,14600.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B10,14600.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B11,14600.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B12,19350.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C2,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C3,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,10025.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,10025.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,10025.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,17850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C10,17850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C11,17850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C12,18700.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D1,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D2,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D3,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D5,9775.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D6,9775.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D7,9775.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D9,17850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D10,17850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D11,17850.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D12,18050.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E1,12275.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E2,12275.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E3,12275.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E5,13675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E6,13675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E7,13675.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E9,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E10,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E11,13100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E12,17400.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F1,16425.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F2,16425.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F3,16425.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F5,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F6,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F7,17000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F9,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F10,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F11,12525.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F12,9775.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G12,9775.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H12,9775.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G1,17925.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G2,17925.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G3,17925.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G5,15100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G6,15100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G7,15100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G9,12275.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G10,12275.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G11,12275.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H1,18075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H2,18075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H3,18075.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H5,15100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H6,15100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H7,15100.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H9,10025.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H10,10025.0
Source[2],6RES_AQ_BP2,A2,Destination[1],H11,10025.0
