"D:\Projects\Marchand\Data\Carothers\230417\fdh-ctrl_1.d"," -ESI EIC(744.0833) Scan Frag=175.0V fdh-ctrl_1.d "
"D:\Projects\Marchand\Data\Carothers\230417\fdh-ctrl_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230417\fdh-ctrl_1.d" ,"1" ,4.609,4.614,4.631,4516.58,4336.43,100.00,100.00,100.00,0.022,3.907,0.00,0.00,0.548,4.609,4.620,6.553,0.00,0.00,0.00,4516.58,,,  ,1033.9936,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230417\fdh-ctrl_2.d"," -ESI EIC(744.0833) Scan Frag=175.0V fdh-ctrl_2.d "
"D:\Projects\Marchand\Data\Carothers\230417\fdh-ctrl_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230417\fdh-ctrl_2.d" ,"1" ,4.523,4.534,4.539,4625.60,2911.63,100.00,100.00,100.00,0.017,0.011,0.00,0.00,0.550,4.523,4.545,4.573,0.00,0.00,0.48,4625.60,,,  ,1033.9936,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230417\fdh-ctrl_3.d"," -ESI EIC(744.0833) Scan Frag=175.0V fdh-ctrl_3.d "
"D:\Projects\Marchand\Data\Carothers\230417\fdh-ctrl_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230417\fdh-ctrl_3.d" ,"1" ,4.537,4.554,4.565,4919.07,5320.68,100.00,100.00,100.00,0.028,0.037,0.00,0.00,0.548,4.548,4.560,6.554,0.00,0.00,0.31,4919.07,,,  ,1033.9936,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230417\fdh-mod1_1.d"," -ESI EIC(744.0833) Scan Frag=175.0V fdh-mod1_1.d "
