,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,,,,mod3_ctrl,std,,,
B,,,,,,,,,,,,,,,,,,,,mod3_new,mod3_ctrl_ATP,,,
C,,,,,,,,,,,,,,,,,,,,glyA_ctrl,mod3_new_ATP,,,
D,,,,,,,,,,,,,,,,,,,,tdcb_ctrl,mod3_gly_ctrl_ATP,,,
E,,,,,,,,,,,,,,,,,,,,ilvA,glyA_ATP,,,
F,,,,,,,,,,,,,,,,,,,,sds,ppk12,,,
G,,,,,,,,,,,,,,,,,,,,mod3_mod1,ppk12-mod1,,,
H,,,,,,,,,,,,,,,,,,,,mod3_no_sds,fdh,,,
I,,,,,,,,,,,,,,,,,,,,mod3_no_pyc,fdh-mod-1,,,
J,,,,,,,,,,,,,,,,,,,,mod3_ilvA,,,,
K,,,,,,,,,,,,,,,,,,,,mod3_mod1_ilvA,,,,
L,,,,,,,,,,,,,,,,,,,,mod3_ilvA_ATP,,,,
M,,,,,,,,,,,,,,,,,,,,mod3_ilvA_gly_ATP,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
