Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A20,325
Source[1],384PP_AQ_BP,P1,Destination[1],A20,50
Source[1],384PP_AQ_BP,P2,Destination[1],A20,175
Source[1],384PP_AQ_BP,P3,Destination[1],A20,50
Source[1],384PP_AQ_BP,P8,Destination[1],A20,75
Source[1],384PP_AQ_BP,P9,Destination[1],A20,50
Source[1],384PP_AQ_BP,P16,Destination[1],A20,25
Source[1],384PP_AQ_BP,A1,Destination[1],A21,750
Source[1],384PP_AQ_BP,A1,Destination[1],B20,250
Source[1],384PP_AQ_BP,P1,Destination[1],B20,50
Source[1],384PP_AQ_BP,P2,Destination[1],B20,175
Source[1],384PP_AQ_BP,P3,Destination[1],B20,50
Source[1],384PP_AQ_BP,P9,Destination[1],B20,50
Source[1],384PP_AQ_BP,P16,Destination[1],B20,25
Source[1],384PP_AQ_BP,O17,Destination[1],B20,150
Source[1],384PP_AQ_BP,A1,Destination[1],B21,225
Source[1],384PP_AQ_BP,P1,Destination[1],B21,50
Source[1],384PP_AQ_BP,P2,Destination[1],B21,175
Source[1],384PP_AQ_BP,P3,Destination[1],B21,50
Source[1],384PP_AQ_BP,P8,Destination[1],B21,75
Source[1],384PP_AQ_BP,P9,Destination[1],B21,50
Source[1],384PP_AQ_BP,P15,Destination[1],B21,100
Source[1],384PP_AQ_BP,P16,Destination[1],B21,25
Source[1],384PP_AQ_BP,A1,Destination[1],C20,425
Source[1],384PP_AQ_BP,P3,Destination[1],C20,50
Source[1],384PP_AQ_BP,P9,Destination[1],C20,50
Source[1],384PP_AQ_BP,O1,Destination[1],C20,25
Source[1],384PP_AQ_BP,O3,Destination[1],C20,25
Source[1],384PP_AQ_BP,O11,Destination[1],C20,50
Source[1],384PP_AQ_BP,O14,Destination[1],C20,125
Source[1],384PP_AQ_BP,A1,Destination[1],C21,150
Source[1],384PP_AQ_BP,P1,Destination[1],C21,50
Source[1],384PP_AQ_BP,P2,Destination[1],C21,175
Source[1],384PP_AQ_BP,P3,Destination[1],C21,50
Source[1],384PP_AQ_BP,P9,Destination[1],C21,50
Source[1],384PP_AQ_BP,P15,Destination[1],C21,100
Source[1],384PP_AQ_BP,P16,Destination[1],C21,25
Source[1],384PP_AQ_BP,O17,Destination[1],C21,150
Source[1],384PP_AQ_BP,A1,Destination[1],D20,625
Source[1],384PP_AQ_BP,P8,Destination[1],D20,75
Source[1],384PP_AQ_BP,P9,Destination[1],D20,50
Source[1],384PP_AQ_BP,P1,Destination[1],D21,25
Source[1],384PP_AQ_BP,P2,Destination[1],D21,175
Source[1],384PP_AQ_BP,P3,Destination[1],D21,50
Source[1],384PP_AQ_BP,P9,Destination[1],D21,25
Source[1],384PP_AQ_BP,P15,Destination[1],D21,100
Source[1],384PP_AQ_BP,P16,Destination[1],D21,25
Source[1],384PP_AQ_BP,O1,Destination[1],D21,25
Source[1],384PP_AQ_BP,O3,Destination[1],D21,25
Source[1],384PP_AQ_BP,O11,Destination[1],D21,50
Source[1],384PP_AQ_BP,O14,Destination[1],D21,125
Source[1],384PP_AQ_BP,O17,Destination[1],D21,125
Source[1],384PP_AQ_BP,A1,Destination[1],E20,575
Source[1],384PP_AQ_BP,P9,Destination[1],E20,50
Source[1],384PP_AQ_BP,O18,Destination[1],E20,125
Source[1],384PP_AQ_BP,A1,Destination[1],E21,325
Source[1],384PP_AQ_BP,P3,Destination[1],E21,50
Source[1],384PP_AQ_BP,P9,Destination[1],E21,50
Source[1],384PP_AQ_BP,P15,Destination[1],E21,100
Source[1],384PP_AQ_BP,O1,Destination[1],E21,25
Source[1],384PP_AQ_BP,O3,Destination[1],E21,25
