"D:\Projects\Marchand\Data\Carothers\230419\gly_neg_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V gly_neg_1.d "
"D:\Projects\Marchand\Data\Carothers\230419\gly_neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230419\gly_neg_1.d" ,"1" ,0.509,0.596,0.685,7757.49,36496.44,100.00,100.00,100.00,0.061,,0.00,4869.94,,,,,0.00,88.98,0.24,7822.14,,,  ,1034.0052,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230419\gly_neg_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V gly_neg_2.d "
"D:\Projects\Marchand\Data\Carothers\230419\gly_neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230419\gly_neg_2.d" ,"1" ,0.567,0.586,0.599,6744.34,6951.59,100.00,100.00,100.00,0.017,,0.00,4182.97,,,,,0.00,20.93,0.73,4805.72,,,  ,1034.0052,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230419\gly_neg_3.d"," -ESI EIC(87.0082) Scan Frag=175.0V gly_neg_3.d "
"D:\Projects\Marchand\Data\Carothers\230419\gly_neg_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230419\gly_neg_3.d" ,"1" ,0.681,0.765,0.793,5639.42,27630.91,100.00,100.00,100.00,0.081,,2618.29,3012.41,,,,,96.39,141.52,2.88,6227.54,,,  ,1034.0052,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230419\glyA_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V glyA_1.d "
