,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,,,,,,mod3_mod1,,
B,,,,,,,,,,,,,,,,,,,,,,mod3_mod1_noSDS,,
C,,,,,,,,,,,,,,,,,,,,,,mod3_mod1_ppk,,
D,,,,,,,,,,,,,,,,,,,,,,mod3_mod1_noPYC,,
E,,,,,,,,,,,,,,,,,,,,,,mod3_mod1_noMOD1,,
F,,,,,,,,,,,,,,,,,,,,,,std,,
G,,,,,,,,,,,,,,,,,,,,,,sds,,
H,,,,,,,,,,,,,,,,,,,,,,glyA,,
I,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
