Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A1,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A1,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A1,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],A1,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A1,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],A1,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,N1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,O3,Destination[1],A1,1500.0
Source[1],384PP_AQ_BP,M3,Destination[1],A1,500.0
Source[3],384PP_AQ_BP,A22,Destination[1],A1,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B1,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],B1,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B1,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],B1,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],B1,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],B1,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,N1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,O3,Destination[1],B1,1500.0
Source[1],384PP_AQ_BP,M3,Destination[1],B1,500.0
Source[3],384PP_AQ_BP,A22,Destination[1],B1,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],C1,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],C1,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],C1,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],C1,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],C1,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],C1,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,N1,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,O3,Destination[1],C1,1500.0
Source[1],384PP_AQ_BP,M3,Destination[1],C1,500.0
Source[3],384PP_AQ_BP,A22,Destination[1],C1,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A2,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A2,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A2,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],A2,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A2,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],A2,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,N1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,B3,Destination[1],A2,250.0
Source[1],384PP_AQ_BP,M3,Destination[1],A2,500.0
Source[3],384PP_AQ_BP,A22,Destination[1],A2,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B2,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],B2,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B2,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],B2,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],B2,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],B2,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,N1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,B3,Destination[1],B2,250.0
Source[1],384PP_AQ_BP,M3,Destination[1],B2,500.0
Source[3],384PP_AQ_BP,A22,Destination[1],B2,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],C2,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],C2,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],C2,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],C2,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],C2,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],C2,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],C2,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],C2,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],C2,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],C2,500.0
Source[1],384PP_AQ_BP,N1,Destination[1],C2,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],C2,500.0
Source[1],384PP_AQ_BP,B3,Destination[1],C2,250.0
Source[1],384PP_AQ_BP,M3,Destination[1],C2,500.0
Source[3],384PP_AQ_BP,A22,Destination[1],C2,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A3,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A3,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A3,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],A3,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A3,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],A3,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,N1,Destination[1],A3,500.0
