Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A22,50.0
Source[1],384PP_AQ_BP,P1,Destination[1],A22,50.0
Source[1],384PP_AQ_BP,P2,Destination[1],A22,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],A22,50.0
Source[1],384PP_AQ_BP,P5,Destination[1],A22,25.0
Source[1],384PP_AQ_BP,P9,Destination[1],A22,50.0
Source[1],384PP_AQ_BP,O1,Destination[1],A22,25.0
Source[1],384PP_AQ_BP,O3,Destination[1],A22,25.0
Source[1],384PP_AQ_BP,O11,Destination[1],A22,50.0
Source[1],384PP_AQ_BP,O14,Destination[1],A22,100.0
Source[1],384PP_AQ_BP,O17,Destination[1],A22,150.0
Source[1],384PP_AQ_BP,A1,Destination[1],B22,200.0
Source[1],384PP_AQ_BP,P1,Destination[1],B22,50.0
Source[1],384PP_AQ_BP,P2,Destination[1],B22,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],B22,50.0
Source[1],384PP_AQ_BP,P5,Destination[1],B22,25.0
Source[1],384PP_AQ_BP,P9,Destination[1],B22,50.0
Source[1],384PP_AQ_BP,O1,Destination[1],B22,25.0
Source[1],384PP_AQ_BP,O3,Destination[1],B22,25.0
Source[1],384PP_AQ_BP,O11,Destination[1],B22,50.0
Source[1],384PP_AQ_BP,O14,Destination[1],B22,100.0
Source[1],384PP_AQ_BP,P1,Destination[1],C22,50.0
Source[1],384PP_AQ_BP,P2,Destination[1],C22,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],C22,50.0
Source[1],384PP_AQ_BP,P5,Destination[1],C22,25.0
Source[1],384PP_AQ_BP,P9,Destination[1],C22,50.0
Source[1],384PP_AQ_BP,P15,Destination[1],C22,50.0
Source[1],384PP_AQ_BP,O1,Destination[1],C22,25.0
Source[1],384PP_AQ_BP,O3,Destination[1],C22,25.0
Source[1],384PP_AQ_BP,O11,Destination[1],C22,50.0
Source[1],384PP_AQ_BP,O14,Destination[1],C22,100.0
Source[1],384PP_AQ_BP,O17,Destination[1],C22,150.0
Source[1],384PP_AQ_BP,A1,Destination[1],D22,175.0
Source[1],384PP_AQ_BP,P1,Destination[1],D22,50.0
Source[1],384PP_AQ_BP,P3,Destination[1],D22,50.0
Source[1],384PP_AQ_BP,P5,Destination[1],D22,25.0
Source[1],384PP_AQ_BP,P9,Destination[1],D22,50.0
Source[1],384PP_AQ_BP,P15,Destination[1],D22,50.0
Source[1],384PP_AQ_BP,O1,Destination[1],D22,25.0
Source[1],384PP_AQ_BP,O3,Destination[1],D22,25.0
Source[1],384PP_AQ_BP,O11,Destination[1],D22,50.0
Source[1],384PP_AQ_BP,O14,Destination[1],D22,100.0
Source[1],384PP_AQ_BP,O17,Destination[1],D22,150.0
Source[1],384PP_AQ_BP,A1,Destination[1],E22,150.0
Source[1],384PP_AQ_BP,P1,Destination[1],E22,50.0
Source[1],384PP_AQ_BP,P2,Destination[1],E22,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],E22,50.0
Source[1],384PP_AQ_BP,P5,Destination[1],E22,25.0
Source[1],384PP_AQ_BP,P9,Destination[1],E22,50.0
Source[1],384PP_AQ_BP,P15,Destination[1],E22,50.0
Source[1],384PP_AQ_BP,O11,Destination[1],E22,50.0
Source[1],384PP_AQ_BP,O17,Destination[1],E22,150.0
Source[1],384PP_AQ_BP,A1,Destination[1],F22,750.0
Source[1],384PP_AQ_BP,A1,Destination[1],G22,550.0
Source[1],384PP_AQ_BP,P9,Destination[1],G22,50.0
Source[1],384PP_AQ_BP,O17,Destination[1],G22,150.0
Source[1],384PP_AQ_BP,A1,Destination[1],H22,400.0
Source[1],384PP_AQ_BP,P3,Destination[1],H22,25.0
Source[1],384PP_AQ_BP,P9,Destination[1],H22,50.0
Source[1],384PP_AQ_BP,P15,Destination[1],H22,50.0
Source[1],384PP_AQ_BP,O1,Destination[1],H22,25.0
Source[1],384PP_AQ_BP,O3,Destination[1],H22,25.0
Source[1],384PP_AQ_BP,O11,Destination[1],H22,50.0
Source[1],384PP_AQ_BP,O14,Destination[1],H22,125.0
Source[1],384PP_AQ_BP,C23,Destination[1],A22,2250.0000000000005
Source[1],384PP_AQ_BP,C23,Destination[1],B22,2250.0000000000005
Source[1],384PP_AQ_BP,C23,Destination[1],C22,2250.0
Source[1],384PP_AQ_BP,C23,Destination[1],D22,2250.0
Source[1],384PP_AQ_BP,C23,Destination[1],E22,2250.0000000000005
Source[1],384PP_AQ_BP,C23,Destination[1],F22,2250.0
Source[1],384PP_AQ_BP,C23,Destination[1],G22,2250.0000000000005
Source[1],384PP_AQ_BP,C23,Destination[1],H22,2250.0000000000005
