,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,
G,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,std,mdh_ctrl,,
K,,,,,,,,,,,,,,,,,,,,,std,pyc_ctrl,,
L,,,,,,,,,,,,,,,,,,,,,glyA,sds_ctrl,,
M,,,,,,,,,,,,,,,,,,,,,glyA_sds,mod1_ctrl,,
N,,,,,,,,,,,,,,,,,,,,,mod3,mod1_fdh,,
O,,,,,,,,,,,,,,,,,,,,,,mod1_glyA,,
P,,,,,,,,,,,,,,,,,,,,,,mod1_sds,,
