Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A1,3825.0
Source[1],384PP_AQ_BP,P1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,P2,Destination[1],A1,1250.0
Source[1],384PP_AQ_BP,P3,Destination[1],A1,450.0
Source[1],384PP_AQ_BP,P5,Destination[1],A1,225.0
Source[1],384PP_AQ_BP,A1,Destination[1],B1,1050.0
Source[1],384PP_AQ_BP,P1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,P2,Destination[1],B1,1250.0
Source[1],384PP_AQ_BP,P3,Destination[1],B1,450.0
Source[1],384PP_AQ_BP,P5,Destination[1],B1,225.0
Source[1],384PP_AQ_BP,P9,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,O17,Destination[1],B1,2275.0
Source[1],384PP_AQ_BP,A1,Destination[1],C1,2800.0
Source[1],384PP_AQ_BP,P3,Destination[1],C1,450.0
Source[1],384PP_AQ_BP,P9,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],C1,675.0
Source[1],384PP_AQ_BP,O2,Destination[1],C1,400.0
Source[1],384PP_AQ_BP,O3,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,O11,Destination[1],C1,925.0
Source[1],384PP_AQ_BP,A1,Destination[1],D1,250.0
Source[1],384PP_AQ_BP,P3,Destination[1],D1,450.0
Source[1],384PP_AQ_BP,P9,Destination[1],D1,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],D1,675.0
Source[1],384PP_AQ_BP,O2,Destination[1],D1,400.0
Source[1],384PP_AQ_BP,O3,Destination[1],D1,500.0
Source[1],384PP_AQ_BP,O11,Destination[1],D1,925.0
Source[1],384PP_AQ_BP,O17,Destination[1],D1,2550.0
Source[1],384PP_AQ_BP,A1,Destination[1],E1,6250.0
Source[1],384PP_AQ_BP,C21,Destination[1],A1,18750.0
Source[1],384PP_AQ_BP,C21,Destination[1],B1,18750.0
Source[1],384PP_AQ_BP,C21,Destination[1],C1,18750.0
Source[1],384PP_AQ_BP,C21,Destination[1],D1,18750.0
Source[1],384PP_AQ_BP,C21,Destination[1],E1,18750.0
