Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],J21,750
Source[1],384PP_AQ_BP,A1,Destination[1],K21,750
Source[1],384PP_AQ_BP,A1,Destination[1],J22,675
Source[1],384PP_AQ_BP,P3,Destination[1],J22,50
Source[1],384PP_AQ_BP,P5,Destination[1],J22,25
Source[1],384PP_AQ_BP,A1,Destination[1],K22,475
Source[1],384PP_AQ_BP,P1,Destination[1],K22,50
Source[1],384PP_AQ_BP,P2,Destination[1],K22,150
Source[1],384PP_AQ_BP,P3,Destination[1],K22,50
Source[1],384PP_AQ_BP,P5,Destination[1],K22,25
Source[1],384PP_AQ_BP,A1,Destination[1],L21,600
Source[1],384PP_AQ_BP,P9,Destination[1],L21,50
Source[1],384PP_AQ_BP,O11,Destination[1],L21,100
Source[1],384PP_AQ_BP,A1,Destination[1],L22,150
Source[1],384PP_AQ_BP,P1,Destination[1],L22,50
Source[1],384PP_AQ_BP,P2,Destination[1],L22,150
Source[1],384PP_AQ_BP,P3,Destination[1],L22,50
Source[1],384PP_AQ_BP,P5,Destination[1],L22,25
Source[1],384PP_AQ_BP,P9,Destination[1],L22,50
Source[1],384PP_AQ_BP,O17,Destination[1],L22,275
Source[1],384PP_AQ_BP,A1,Destination[1],M21,50
Source[1],384PP_AQ_BP,P9,Destination[1],M21,50
Source[1],384PP_AQ_BP,O11,Destination[1],M21,100
Source[1],384PP_AQ_BP,O17,Destination[1],M21,550
Source[1],384PP_AQ_BP,A1,Destination[1],M22,575
Source[1],384PP_AQ_BP,O1,Destination[1],M22,75
Source[1],384PP_AQ_BP,O2,Destination[1],M22,50
Source[1],384PP_AQ_BP,O3,Destination[1],M22,50
Source[1],384PP_AQ_BP,A1,Destination[1],N21,100
Source[1],384PP_AQ_BP,P1,Destination[1],N21,50
Source[1],384PP_AQ_BP,P2,Destination[1],N21,150
Source[1],384PP_AQ_BP,P3,Destination[1],N21,50
Source[1],384PP_AQ_BP,P5,Destination[1],N21,25
Source[1],384PP_AQ_BP,P9,Destination[1],N21,50
Source[1],384PP_AQ_BP,O11,Destination[1],N21,50
Source[1],384PP_AQ_BP,O17,Destination[1],N21,275
Source[1],384PP_AQ_BP,A1,Destination[1],N22,525
Source[1],384PP_AQ_BP,P3,Destination[1],N22,50
Source[1],384PP_AQ_BP,O1,Destination[1],N22,75
Source[1],384PP_AQ_BP,O2,Destination[1],N22,50
Source[1],384PP_AQ_BP,O3,Destination[1],N22,50
Source[1],384PP_AQ_BP,A1,Destination[1],O22,375
Source[1],384PP_AQ_BP,P3,Destination[1],O22,50
Source[1],384PP_AQ_BP,P9,Destination[1],O22,50
Source[1],384PP_AQ_BP,O1,Destination[1],O22,75
Source[1],384PP_AQ_BP,O2,Destination[1],O22,50
Source[1],384PP_AQ_BP,O3,Destination[1],O22,50
Source[1],384PP_AQ_BP,O11,Destination[1],O22,100
Source[1],384PP_AQ_BP,A1,Destination[1],P22,25
Source[1],384PP_AQ_BP,P3,Destination[1],P22,50
Source[1],384PP_AQ_BP,P9,Destination[1],P22,50
Source[1],384PP_AQ_BP,O1,Destination[1],P22,75
Source[1],384PP_AQ_BP,O2,Destination[1],P22,50
Source[1],384PP_AQ_BP,O3,Destination[1],P22,50
Source[1],384PP_AQ_BP,O11,Destination[1],P22,100
Source[1],384PP_AQ_BP,O17,Destination[1],P22,350
Source[1],384PP_AQ_BP,C22,Destination[1],J21,2250
Source[1],384PP_AQ_BP,C22,Destination[1],K21,2250
Source[1],384PP_AQ_BP,C22,Destination[1],J22,2250
Source[1],384PP_AQ_BP,C22,Destination[1],K22,2250
Source[1],384PP_AQ_BP,C22,Destination[1],L21,2250
Source[1],384PP_AQ_BP,C22,Destination[1],L22,2250
Source[1],384PP_AQ_BP,C22,Destination[1],M21,2250
Source[1],384PP_AQ_BP,C22,Destination[1],M22,2250
Source[1],384PP_AQ_BP,C22,Destination[1],N21,2250
Source[1],384PP_AQ_BP,C22,Destination[1],N22,2250
Source[1],384PP_AQ_BP,C22,Destination[1],O22,2250
Source[1],384PP_AQ_BP,C22,Destination[1],P22,2250
