Sample Name,Sample Position,Method,Data File
mdh_ctrl_1,P3-A1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mdh_ctrl_1
mdh_ctrl_2,P3-A2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mdh_ctrl_2
mdh_ctrl_3,P3-A3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mdh_ctrl_3
mod1_fdh_1,P3-A4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_fdh_1
mod1_fdh_2,P3-A5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_fdh_2
mod1_fdh_3,P3-A6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_fdh_3
glyA_1,P3-A7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/glyA_1
glyA_2,P3-A8,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/glyA_2
glyA_3,P3-A9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/glyA_3
mdh_neg_1,P3-B1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mdh_neg_1
mdh_neg_2,P3-B2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mdh_neg_2
mdh_neg_3,P3-B3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mdh_neg_3
mod1_glyA_neg_1,P3-B4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_glyA_neg_1
mod1_glyA_neg_2,P3-B5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_glyA_neg_2
mod1_glyA_neg_3,P3-B6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_glyA_neg_3
glyA_neg_1,P3-B7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/glyA_neg_1
glyA_neg_2,P3-B8,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/glyA_neg_2
