"D:\Projects\Marchand\Data\Carothers\230503\10x_std_1_1.d"," -ESI EIC(74.0242) Scan Frag=175.0V 10x_std_1_1.d "
"D:\Projects\Marchand\Data\Carothers\230503\10x_std_1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\10x_std_1_1.d" ,"1" ,3.426,3.432,3.593,173202.54,459459.79,100.00,100.00,100.00,0.166,0.072,2528.26,8622.10,3.388,3.426,3.836,4.224,2528.26,3665.20,2.32,175768.11,,,  ,159.0737,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\10x_std_2_1.d"," -ESI EIC(74.0242) Scan Frag=175.0V 10x_std_2_1.d "
"D:\Projects\Marchand\Data\Carothers\230503\10x_std_2_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\10x_std_2_1.d" ,"1" ,3.371,3.404,3.604,78884.37,371284.36,100.00,100.00,100.00,0.233,0.065,19459.89,17259.78,3.332,3.371,3.604,3.604,527.72,2110.89,1.90,79638.21,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\10x_std_3_1.d"," -ESI EIC(74.0242) Scan Frag=175.0V 10x_std_3_1.d "
"D:\Projects\Marchand\Data\Carothers\230503\10x_std_3_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\10x_std_3_1.d" ,"1" ,3.402,3.408,3.585,158558.99,487607.67,100.00,100.00,100.00,0.183,0.052,0.00,7168.95,3.341,3.369,3.585,3.585,4610.32,-2159.84,1.63,162969.44,,,  ,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\200x_std_1_1.d"," -ESI EIC(74.0242) Scan Frag=175.0V 200x_std_1_1.d "
"D:\Projects\Marchand\Data\Carothers\230503\200x_std_1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\200x_std_1_1.d" ,"1" ,3.445,3.495,3.672,62616.23,239401.74,100.00,100.00,100.00,0.227,0.048,95.95,1320.36,2.985,3.450,3.622,3.678,95.95,95.95,3.21,62712.18,,,  ,1033.9808,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\200x_std_2_1.d"," -ESI EIC(74.0242) Scan Frag=175.0V 200x_std_2_1.d "
"D:\Projects\Marchand\Data\Carothers\230503\200x_std_2_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\200x_std_2_1.d" ,"1" ,3.370,3.420,3.580,50297.50,218924.90,100.00,100.00,100.00,0.210,0.053,66.39,2418.57,3.342,3.370,3.547,3.608,66.39,66.39,3.45,50363.89,,,  ,1033.9808,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\200x_std_3_1.d"," -ESI EIC(74.0242) Scan Frag=175.0V 200x_std_3_1.d "
"D:\Projects\Marchand\Data\Carothers\230503\200x_std_3_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\200x_std_3_1.d" ,"1" ,3.368,3.416,3.588,36571.35,158641.34,100.00,100.00,100.00,0.220,0.046,869.94,1973.25,2.912,3.366,3.544,3.604,869.94,1303.81,3.40,37536.40,,,  ,1033.9808,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\200x_std_4_1.d"," -ESI EIC(74.0242) Scan Frag=175.0V 200x_std_4_1.d "
"D:\Projects\Marchand\Data\Carothers\230503\200x_std_4_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\200x_std_4_1.d" ,"1" ,3.366,3.415,3.609,22545.99,106631.14,100.00,100.00,100.00,0.243,0.051,70.92,0.00,2.911,3.371,3.542,3.603,70.92,70.92,3.41,22616.92,,,  ,1033.9808,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\fin.d"," -ESI EIC(74.0242) Scan Frag=175.0V fin.d "
"D:\Projects\Marchand\Data\Carothers\230503\fin.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\fin.d" ,"1" ,3.427,3.438,3.444,1358.00,564.93,100.00,100.00,100.00,0.017,2.870,0.00,0.00,0.546,3.433,3.444,6.557,0.00,0.00,0.00,1358.00,,,  ,1033.9808,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\init.d"," -ESI EIC(74.0242) Scan Frag=175.0V init.d "
"D:\Projects\Marchand\Data\Carothers\230503\init.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\init.d" ,"1" ,1.063,1.069,1.075,609.32,202.60,100.00,100.00,100.00,0.011,0.468,0.00,0.00,0.543,1.063,1.075,2.521,0.00,0.00,0.01,609.32,,,  ,248.9636,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\mid.d"," -ESI EIC(74.0242) Scan Frag=175.0V mid.d "
"D:\Projects\Marchand\Data\Carothers\230503\mid.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\mid.d" ,"1" ,3.564,3.569,3.580,979.59,629.27,100.00,100.00,100.00,0.017,3.014,0.00,0.00,0.544,3.564,3.575,6.556,0.00,0.00,0.00,979.59,,,  ,1033.9808,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\mid-2.d"," -ESI EIC(74.0242) Scan Frag=175.0V mid-2.d "
"D:\Projects\Marchand\Data\Carothers\230503\mid-2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\mid-2.d" ,"1" ,3.640,3.652,3.657,1468.03,942.95,100.00,100.00,100.00,0.017,3.091,0.00,0.00,0.543,3.652,3.652,10.985,0.00,0.00,0.00,1468.03,,,  ,1033.9808,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_250ul_1.d"," -ESI EIC(74.0242) Scan Frag=175.0V no_pathway_10x_250ul_1.d "
"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_250ul_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_250ul_1.d" ,"1" ,3.363,3.418,3.607,365792.72,2039571.95,100.00,100.00,100.00,0.244,0.056,82497.33,36262.93,3.346,3.380,3.596,3.612,508.72,692.86,2.53,366343.28,,,  ,216.0810,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_250ul_2.d"," -ESI EIC(74.0242) Scan Frag=175.0V no_pathway_10x_250ul_2.d "
"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_250ul_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_250ul_2.d" ,"1" ,3.359,3.403,3.592,95545.40,378385.80,100.00,100.00,100.00,0.233,0.048,15565.08,1835.66,3.348,3.376,3.542,3.608,119.21,119.21,1.82,95664.62,,,  ,216.0810,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_250ul_3.d"," -ESI EIC(74.0242) Scan Frag=175.0V no_pathway_10x_250ul_3.d "
"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_250ul_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_250ul_3.d" ,"1" ,3.362,3.406,3.561,92264.90,318781.04,100.00,100.00,100.00,0.200,0.048,14439.65,2881.78,3.350,3.373,3.561,3.605,1709.64,2881.78,1.47,94234.85,,,  ,216.0810,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_25ul_1.d"," -ESI EIC(74.0242) Scan Frag=175.0V no_pathway_10x_25ul_1.d "
"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_25ul_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_25ul_1.d" ,"1" ,3.366,3.416,3.643,350303.63,1712613.77,100.00,100.00,100.00,0.277,0.057,42079.26,13674.65,3.333,3.372,3.854,4.220,741.61,575.53,1.74,351015.34,,,  ,216.0810,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_25ul_2.d"," -ESI EIC(74.0242) Scan Frag=175.0V no_pathway_10x_25ul_2.d "
"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_25ul_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_25ul_2.d" ,"1" ,3.356,3.417,3.578,211139.78,830321.04,100.00,100.00,100.00,0.222,0.052,13164.09,5530.41,3.334,3.373,3.799,4.231,2462.31,3992.15,1.99,214022.83,,,  ,216.0810,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230503\no_pathway_10x_25ul_3.d"," -ESI EIC(74.0242) Scan Frag=175.0V no_pathway_10x_25ul_3.d "
