Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A4,9950.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,9950.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,9950.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B4,12200.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,12200.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,12200.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C4,9950.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,9950.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,9950.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D4,19350.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E4,18700.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F4,18050.0
Source[2],6RES_AQ_BP2,A2,Destination[1],G4,17400.0
