Sample Name,Sample Position,Method,Data File
init,,,
200x_std_1_1,P3-H1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/200x_std_1_1
200x_std_2_1,P3-H2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/200x_std_2_1
200x_std_3_1,P3-H3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/200x_std_3_1
200x_std_4_1,P3-H4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/200x_std_4_1
10x_std_1_1,P3-H5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/10x_std_1_1
10x_std_2_1,P3-H6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/10x_std_2_1
10x_std_3_1,P3-H7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/10x_std_3_1
10x_std_4_1,P3-H8,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/10x_std_4_1
init,,,
to_mal_200x_25ul_1,P3-E1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/to_mal_200x_25ul_1
to_mal_200x_25ul_2,P3-E2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/to_mal_200x_25ul_2
to_mal_200x_25ul_3,P3-E3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/to_mal_200x_25ul_3
to_pyr_200x_25ul_1,P3-E4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/to_pyr_200x_25ul_1
to_pyr_200x_25ul_2,P3-E5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/to_pyr_200x_25ul_2
to_pyr_200x_25ul_3,P3-E6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230503/to_pyr_200x_25ul_3
