,Biotin,ATP,CoA,AcCoA,Mg-ACT,HCT,Kan,Formate,Bicarbonate,KOH,NAD,NADP,NADH,NADPH,ME1,ME5,ME11,ACS,Oxaloacetate,Pyruvate,Malate,Serine,Std
Std_1,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,10
Std_2,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,0.25,10
Std_3,,,,,,,,,,,,,,,,,,,0.125,0.125,0.125,0.125,10
Std_4,,,,,,,,,,,,,,,,,,,0.0675,0.0675,0.0675,0.0675,10
Std_5,,,,,,,,,,,,,,,,,,,0,0,0,0,10
ME1_NADPH_OAA,,1,,1,2,10,1,15,10,30,,,,1,10,,,,1,,,,
ME1_NADH_OAA,,1,,1,2,10,1,15,10,30,,,1,,10,,,,1,,,,
ME1_NADPH_PYR,,1,,1,2,10,1,15,10,30,,,,1,10,,,,,1,,,
ME1_NADH_PYR,,1,,1,2,10,1,15,10,30,,,1,,10,,,,,1,,,
ME1_NADP_MAL,,1,,1,2,10,1,15,10,30,,1,,,10,,,,,,1,,
ME1_NAD_MAL,,1,,1,2,10,1,15,10,30,1,,,,10,,,,,,1,,
ME5_NADPH_OAA,,1,,1,2,10,1,15,10,30,,,,1,,10,,,1,,,,
ME5_NADH_OAA,,1,,1,2,10,1,15,10,30,,,1,,,10,,,1,,,,
ME5_NADPH_PYR,,1,,1,2,10,1,15,10,30,,,,1,,10,,,,1,,,
ME5_NADH_PYR,,1,,1,2,10,1,15,10,30,,,1,,,10,,,,1,,,
ME5_NADP_MAL,,1,,1,2,10,1,15,10,30,,1,,,,10,,,,,1,,
ME5_NAD_MAL,,1,,1,2,10,1,15,10,30,1,,,,,10,,,,,1,,
ME11_NADPH_OAA,,1,,1,2,10,1,15,10,30,,,,1,,,10,,1,,,,
ME11_NADH_OAA,,1,,1,2,10,1,15,10,30,,,1,,,,10,,1,,,,
ME11_NADPH_PYR,,1,,1,2,10,1,15,10,30,,,,1,,,10,,,1,,,
ME11_NADH_PYR,,1,,1,2,10,1,15,10,30,,,1,,,,10,,,1,,,
ME11_NADP_MAL,,1,,1,2,10,1,15,10,30,,1,,,,,10,,,,1,,
ME11_NAD_MAL,,1,,1,2,10,1,15,10,30,1,,,,,,10,,,,1,,
NEGMEO,,1,,1,2,10,1,15,10,30,,,,,,,,,1,,,,
NEGMEP,,1,,1,2,10,1,15,10,30,,,,,,,,,,1,,,
NEGMEM,,1,,1,2,10,1,15,10,30,,,,,,,,,,,1,,
ACS,,1,1,,2,10,1,15,10,30,,,,,,,,10,,,,,
NEGACS,,1,1,,2,10,1,15,10,30,,,,,,,,,,,,,
