,Biotin,ATP,Mg-ACT,HCT,Kan,Formate,Bicarbonate,KOH,AMP,PLP,NADH,SDS1,SDS5,SDS11,MOD3,MOD31,MOD35,MOD311,ACS,ACS_PYC,PYC,Pyruvate,Malate,Serine,AcCoA,CoA,Std
ACS_CoA,1,1,2,10,1,15,10,30,,,,,,,,,,,10,,,,,,,1,
CoA,1,1,2,10,1,15,10,30,,,,,,,,,,,,,,,,,,1,10
0_ACS_PYC,1,1,2,10,1,15,10,30,,,1,,,,,,,,,10,,1,,,0,1,
1_ACS_PYC,1,1,2,10,1,15,10,30,,,1,,,,,,,,,10,,1,,,1,1,
2_ACS_PYC,1,1,2,10,1,15,10,30,,,1,,,,,,,,,10,,1,,,2,1,
0_ACS,1,1,2,10,1,15,10,30,,,1,,,,,,,,10,,,1,,,0,1,
1_ACS,1,1,2,10,1,15,10,30,,,1,,,,,,,,10,,,1,,,1,1,
2_ACS,1,1,2,10,1,15,10,30,,,1,,,,,,,,10,,,1,,,2,1,
0_PYC,1,1,2,10,1,15,10,30,,,1,,,,,,,,,,10,1,,,0,1,
1_PYC,1,1,2,10,1,15,10,30,,,1,,,,,,,,,,10,1,,,1,1,
2_PYC,1,1,2,10,1,15,10,30,,,1,,,,,,,,,,10,1,,,2,1,
MOD3,1,1,2,10,1,15,10,30,1,1,1,,,,10,,,,,,,,,1,1,,
SDS_ME1,1,1,2,10,1,15,10,30,1,1,1,10,,,,,,,,,,,,1,1,,
SDS_ME5,1,1,2,10,1,15,10,30,1,1,1,,10,,,,,,,,,,,1,1,,
SDS_ME11,1,1,2,10,1,15,10,30,1,1,1,,,10,,,,,,,,,,1,1,,
MOD3_ME1,1,1,2,10,1,15,10,30,1,1,1,,,,,10,,,,,,,,1,1,,
MOD3_ME5,1,1,2,10,1,15,10,30,1,1,1,,,,,,10,,,,,,,1,1,,
MOD3_ME11,1,1,2,10,1,15,10,30,1,1,1,,,,,,,10,,,,,,1,1,,
Std_1,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,10
Std_2,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,0.25,0.25,10
Std_3,,,,,,,,,,,,,,,,,,,,,,0.125,0.125,0.125,0.125,0.125,10
Std_4,,,,,,,,,,,,,,,,,,,,,,0.0675,0.0675,0.0675,0.0675,0.0675,10
Std_5,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10
