"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d"," -ESI EIC(74.0242) Scan Frag=175.0V glyA_Ec_1.d "
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d" ,"1" ,3.195,3.201,3.212,27551.01,8810.67,100.00,100.00,54.04,0.017,0.089,60.48,60.48,2.636,3.195,3.212,3.273,60.48,60.48,0.13,27611.49,,,  ,248.9711,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d" ,"2" ,3.273,3.278,3.289,4436.14,1237.88,14.05,16.10,7.59,0.016,0.067,60.48,60.48,3.212,3.273,3.289,3.306,60.48,60.48,0.17,4496.62,,,  ,248.9711,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d" ,"3" ,3.306,3.317,3.322,4394.75,1374.33,15.60,15.95,8.43,0.016,0.011,60.48,60.48,3.289,3.306,3.323,3.334,60.48,60.48,0.47,4455.23,,,  ,248.9711,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d" ,"4" ,3.361,3.367,3.372,10807.21,3573.29,40.56,39.23,21.92,0.011,0.023,0.00,0.00,3.323,3.334,3.372,3.406,60.48,60.48,0.16,10867.69,,,  ,248.9711,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d" ,"5" ,3.489,3.494,3.505,4292.23,1308.21,14.85,15.58,8.02,0.016,0.072,60.48,60.48,3.433,3.489,3.505,3.987,60.48,60.48,0.16,4352.71,,,  ,248.9711,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_2.d"," -ESI EIC(74.0242) Scan Frag=175.0V glyA_Ec_2.d "
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_2.d" ,"1" ,2.535,2.551,2.557,17129.45,10641.73,2.81,17.75,2.70,0.022,0.016,57.00,57.00,0.557,2.535,2.585,2.596,57.00,57.00,0.31,17186.45,,17.60,  ,248.9711,,,,,,,,,,,,
