"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d"," -ESI EIC(133.0137) Scan Frag=175.0V glyA_Ec_1.d "
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d" ,"1" ,3.926,4.004,4.032,21293.49,76792.06,100.00,100.00,81.52,0.105,0.065,0.00,0.00,0.558,3.921,4.087,4.087,0.00,0.00,0.36,21293.49,,,  ,248.9711,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d" ,"2" ,4.187,4.198,4.203,6099.89,4047.66,5.27,28.65,4.30,0.017,0.088,0.00,0.00,4.115,4.143,4.303,4.314,0.00,0.00,0.06,6099.89,,,  ,248.9711,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d" ,"3" ,5.799,5.821,5.832,3862.44,4953.44,6.45,18.14,5.26,0.033,0.374,0.00,0.00,5.456,5.655,5.893,5.921,0.00,0.00,0.03,3862.44,,,  ,248.9711,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_1.d" ,"4" ,5.943,5.949,6.015,3867.77,8404.13,10.94,18.16,8.92,0.072,0.122,0.00,0.00,5.893,5.921,6.032,10.988,0.00,0.00,1.19,3867.77,,,  ,248.9711,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_2.d"," -ESI EIC(133.0137) Scan Frag=175.0V glyA_Ec_2.d "
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_2.d" ,"1" ,3.926,4.009,4.095,15374.18,64042.02,100.00,100.00,44.43,0.168,0.058,1603.46,2598.53,0.557,3.920,4.103,4.119,1603.46,2598.53,1.47,17463.72,,,  ,248.9711,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230602_glyA\glyA_Ec_2.d" ,"2" ,4.225,4.236,4.252,5693.57,5375.48,8.39,37.03,3.73,0.028,0.030,0.00,0.00,4.219,4.219,4.258,4.258,0.00,0.00,0.74,5693.57,,,  ,248.9711,,,,,,,,,,,,
