Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,B1,Destination[1],A1,500
Source[1],384PP_AQ_BP,D1,Destination[1],A1,500
Source[1],384PP_AQ_BP,F1,Destination[1],A1,25
Source[1],384PP_AQ_BP,G1,Destination[1],A1,275
Source[1],384PP_AQ_BP,I1,Destination[1],A1,750
Source[1],384PP_AQ_BP,N1,Destination[1],A1,500
Source[1],384PP_AQ_BP,O1,Destination[1],A1,500
Source[1],384PP_AQ_BP,B3,Destination[1],A1,250
Source[1],384PP_AQ_BP,P3,Destination[1],A1,1000
Source[1],384PP_AQ_BP,M3,Destination[1],A1,500
Source[1],384PP_AQ_BP,A4,Destination[1],A1,1250
Source[1],384PP_AQ_BP,B1,Destination[1],B1,500
Source[1],384PP_AQ_BP,D1,Destination[1],B1,500
Source[1],384PP_AQ_BP,F1,Destination[1],B1,25
Source[1],384PP_AQ_BP,G1,Destination[1],B1,275
Source[1],384PP_AQ_BP,I1,Destination[1],B1,750
Source[1],384PP_AQ_BP,N1,Destination[1],B1,500
Source[1],384PP_AQ_BP,O1,Destination[1],B1,500
Source[1],384PP_AQ_BP,B3,Destination[1],B1,250
Source[1],384PP_AQ_BP,P3,Destination[1],B1,1000
Source[1],384PP_AQ_BP,M3,Destination[1],B1,500
Source[1],384PP_AQ_BP,A4,Destination[1],B1,1250
Source[1],384PP_AQ_BP,B1,Destination[1],C1,500
Source[1],384PP_AQ_BP,D1,Destination[1],C1,500
Source[1],384PP_AQ_BP,F1,Destination[1],C1,25
Source[1],384PP_AQ_BP,G1,Destination[1],C1,275
Source[1],384PP_AQ_BP,I1,Destination[1],C1,750
Source[1],384PP_AQ_BP,N1,Destination[1],C1,500
Source[1],384PP_AQ_BP,O1,Destination[1],C1,500
Source[1],384PP_AQ_BP,B3,Destination[1],C1,250
Source[1],384PP_AQ_BP,P3,Destination[1],C1,1000
Source[1],384PP_AQ_BP,M3,Destination[1],C1,500
Source[1],384PP_AQ_BP,A4,Destination[1],C1,1250
Source[1],384PP_AQ_BP,B1,Destination[1],D1,500
Source[1],384PP_AQ_BP,D1,Destination[1],D1,500
Source[1],384PP_AQ_BP,F1,Destination[1],D1,25
Source[1],384PP_AQ_BP,G1,Destination[1],D1,275
Source[1],384PP_AQ_BP,I1,Destination[1],D1,750
Source[1],384PP_AQ_BP,N1,Destination[1],D1,500
Source[1],384PP_AQ_BP,O1,Destination[1],D1,500
Source[1],384PP_AQ_BP,B3,Destination[1],D1,250
Source[1],384PP_AQ_BP,P3,Destination[1],D1,1000
Source[1],384PP_AQ_BP,M3,Destination[1],D1,500
Source[1],384PP_AQ_BP,A4,Destination[1],D1,1250
Source[1],384PP_AQ_BP,B1,Destination[1],E1,500
Source[1],384PP_AQ_BP,D1,Destination[1],E1,500
Source[1],384PP_AQ_BP,F1,Destination[1],E1,25
Source[1],384PP_AQ_BP,G1,Destination[1],E1,275
Source[1],384PP_AQ_BP,I1,Destination[1],E1,750
Source[1],384PP_AQ_BP,N1,Destination[1],E1,500
Source[1],384PP_AQ_BP,O1,Destination[1],E1,500
Source[1],384PP_AQ_BP,B3,Destination[1],E1,250
Source[1],384PP_AQ_BP,P3,Destination[1],E1,1000
Source[1],384PP_AQ_BP,M3,Destination[1],E1,500
Source[1],384PP_AQ_BP,A4,Destination[1],E1,1250
Source[1],384PP_AQ_BP,B1,Destination[1],F1,500
Source[1],384PP_AQ_BP,D1,Destination[1],F1,500
Source[1],384PP_AQ_BP,F1,Destination[1],F1,25
Source[1],384PP_AQ_BP,G1,Destination[1],F1,275
Source[1],384PP_AQ_BP,I1,Destination[1],F1,750
Source[1],384PP_AQ_BP,N1,Destination[1],F1,500
Source[1],384PP_AQ_BP,O1,Destination[1],F1,500
Source[1],384PP_AQ_BP,B3,Destination[1],F1,250
Source[1],384PP_AQ_BP,P3,Destination[1],F1,1000
Source[1],384PP_AQ_BP,M3,Destination[1],F1,500
Source[1],384PP_AQ_BP,A4,Destination[1],F1,1250
Source[1],384PP_AQ_BP,B1,Destination[1],A2,500
Source[1],384PP_AQ_BP,D1,Destination[1],A2,500
Source[1],384PP_AQ_BP,F1,Destination[1],A2,25
Source[1],384PP_AQ_BP,G1,Destination[1],A2,275
Source[1],384PP_AQ_BP,I1,Destination[1],A2,750
Source[1],384PP_AQ_BP,N1,Destination[1],A2,500
Source[1],384PP_AQ_BP,O1,Destination[1],A2,500
Source[1],384PP_AQ_BP,B3,Destination[1],A2,250
Source[1],384PP_AQ_BP,P3,Destination[1],A2,1000
Source[1],384PP_AQ_BP,M3,Destination[1],A2,500
Source[1],384PP_AQ_BP,A4,Destination[1],A2,1250
Source[1],384PP_AQ_BP,B1,Destination[1],B2,500
Source[1],384PP_AQ_BP,D1,Destination[1],B2,500
Source[1],384PP_AQ_BP,F1,Destination[1],B2,25
Source[1],384PP_AQ_BP,G1,Destination[1],B2,275
Source[1],384PP_AQ_BP,I1,Destination[1],B2,750
Source[1],384PP_AQ_BP,N1,Destination[1],B2,500
Source[1],384PP_AQ_BP,O1,Destination[1],B2,500
Source[1],384PP_AQ_BP,B3,Destination[1],B2,250
Source[1],384PP_AQ_BP,P3,Destination[1],B2,1000
Source[1],384PP_AQ_BP,M3,Destination[1],B2,500
Source[1],384PP_AQ_BP,A4,Destination[1],B2,1250
