Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A11,100
Source[1],384PP_AQ_BP,P3,Destination[1],A11,50
Source[1],384PP_AQ_BP,P9,Destination[1],A11,75
Source[1],384PP_AQ_BP,O17,Destination[1],A11,275
Source[1],384PP_AQ_BP,K4,Destination[1],A11,125
Source[1],384PP_AQ_BP,K5,Destination[1],A11,100
Source[1],384PP_AQ_BP,K6,Destination[1],A11,150
Source[1],384PP_AQ_BP,K12,Destination[1],A11,125
Source[1],384PP_AQ_BP,A1,Destination[1],A12,125
Source[1],384PP_AQ_BP,P3,Destination[1],A12,50
Source[1],384PP_AQ_BP,P9,Destination[1],A12,75
Source[1],384PP_AQ_BP,O17,Destination[1],A12,275
Source[1],384PP_AQ_BP,K4,Destination[1],A12,125
Source[1],384PP_AQ_BP,K5,Destination[1],A12,100
Source[1],384PP_AQ_BP,K6,Destination[1],A12,150
Source[1],384PP_AQ_BP,K11,Destination[1],A12,100
Source[1],384PP_AQ_BP,A1,Destination[1],A13,650
Source[1],384PP_AQ_BP,P9,Destination[1],A13,75
Source[1],384PP_AQ_BP,O17,Destination[1],A13,275
Source[1],384PP_AQ_BP,A1,Destination[1],A14,575
Source[1],384PP_AQ_BP,P3,Destination[1],A14,50
Source[1],384PP_AQ_BP,K4,Destination[1],A14,125
Source[1],384PP_AQ_BP,K5,Destination[1],A14,100
Source[1],384PP_AQ_BP,K6,Destination[1],A14,150
Source[1],384PP_AQ_BP,A1,Destination[1],A15,700
Source[1],384PP_AQ_BP,P1,Destination[1],A15,75
Source[1],384PP_AQ_BP,P2,Destination[1],A15,100
Source[1],384PP_AQ_BP,P3,Destination[1],A15,50
Source[1],384PP_AQ_BP,P5,Destination[1],A15,75
Source[1],384PP_AQ_BP,A1,Destination[1],A16,1000
Source[1],384PP_AQ_BP,A1,Destination[1],A17,1000
Source[1],384PP_AQ_BP,E22,Destination[1],A11,3000
Source[1],384PP_AQ_BP,E22,Destination[1],A12,3000
Source[1],384PP_AQ_BP,E22,Destination[1],A13,3000
Source[1],384PP_AQ_BP,E22,Destination[1],A14,3000
Source[1],384PP_AQ_BP,E22,Destination[1],A15,3000
Source[1],384PP_AQ_BP,E22,Destination[1],A16,3000
Source[1],384PP_AQ_BP,E22,Destination[1],A17,3000
