Sample Name,Sample Position,Method,Data File
glyA_Ht_1,P3-A1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ht_1
glyA_Ec_1,P3-A2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ec_1
glyA_neg_1,P3-A3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_neg_1
sds_1,P3-A4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_1
sds_neg_1,P3-A5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_neg_1
mod1_1,P3-A6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_1
mod1_neg_1,P3-A7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_neg_1
glyA_Ht_2,P3-B1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ht_2
glyA_Ec_2,P3-B2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ec_2
glyA_neg_2,P3-B3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_neg_2
sds_2,P3-B4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_2
sds_neg_2,P3-B5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_neg_2
mod1_2,P3-B6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_2
mod1_neg_2,P3-B7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_neg_2
glyA_Ht_3,P3-C1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ht_3
glyA_Ec_3,P3-C2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ec_3
glyA_neg_3,P3-C3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_neg_3
sds_3,P3-C4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_3
sds_neg_3,P3-C5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_neg_3
mod1_3,P3-C6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_3
mod1_neg_3,P3-C7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_neg_3
glyA_Ht_4,P3-D1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ht_4
glyA_Ec_4,P3-D2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ec_4
glyA_neg_4,P3-D3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_neg_4
sds_4,P3-D4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_4
sds_neg_4,P3-D5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_neg_4
mod1_4,P3-D6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_4
mod1_neg_4,P3-D7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_neg_4
glyA_Ht_5,P3-E1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ht_5
glyA_Ec_5,P3-E2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ec_5
glyA_neg_5,P3-E3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_neg_5
sds_5,P3-E4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_5
sds_neg_5,P3-E5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_neg_5
mod1_5,P3-E6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_5
mod1_neg_5,P3-E7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_neg_5
glyA_Ht_6,P3-F1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ht_6
glyA_Ec_6,P3-F2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_Ec_6
glyA_neg_6,P3-F3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/glyA_neg_6
sds_6,P3-F4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_6
sds_neg_6,P3-F5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/sds_neg_6
mod1_6,P3-F6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_6
mod1_neg_6,P3-F7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/mod1_neg_6
pyc-0_1,P3-A9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-0_1
pyc-0_2,P3-A10,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-0_2
pyc-0_3,P3-A11,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-0_3
pyc-1_1,P3-B9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-1_1
pyc-1_2,P3-B10,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-1_2
pyc-1_3,P3-B11,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-1_3
pyc-2_1,P3-C9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-2_1
pyc-2_2,P3-C10,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-2_2
pyc-2_3,P3-C11,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-2_3
pyc-3_1,P3-D9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-3_1
pyc-3_2,P3-D10,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-3_2
pyc-3_3,P3-D11,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/pyc-3_3
neg-0_1,P3-E9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-0_1
neg-0_2,P3-E10,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-0_2
neg-0_3,P3-E11,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-0_3
neg-1_1,P3-F9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-1_1
neg-1_2,P3-F10,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-1_2
neg-1_3,P3-F11,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-1_3
neg-2_1,P3-G9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-2_1
neg-2_2,P3-G10,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-2_2
neg-2_3,P3-G11,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-2_3
neg-3_1,P3-H9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-3_1
neg-3_2,P3-H10,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-3_2
neg-3_3,P3-H11,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230602_glyA/neg-3_3
script,,,
