Sample Name,Sample Position,Method,Data File
fdh_cm_nad_1,p3-g1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_cm_nad_1
fdh_cm_nad_2,p3-g2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_cm_nad_2
fdh_sn_nad_1,p3-g3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_sn_nad_1
fdh_sn_nad_2,p3-g4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_sn_nad_2
fdh_at_nad_1,p3-g5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_at_nad_1
fdh_at_nad_2,p3-g6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_at_nad_2
fdh_p101_nad_1,p3-g7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_p101_nad_1
fdh_p101_nad_2,p3-g8,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_p101_nad_2
neg_nad_1,p3-g9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/neg_nad_1
neg_nad_2,p3-g10,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/neg_nad_2
fdh_cm_nadp_1,p3-h1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_cm_nadp_1
fdh_cm_nadp_2,p3-h2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_cm_nadp_2
fdh_sn_nadp_1,p3-h3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_sn_nadp_1
fdh_sn_nadp_2,p3-h4,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_sn_nadp_2
fdh_at_nadp_1,p3-h5,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230619/fdh_at_nadp_1
